Intersecting Volume,Volume Flux,Time Stamp
0,0,299.0081
0.05915721,4.54067,299.021
0.2236629,13.87601,299.033
0.2236629,0,299.0435
0.3752026,13.57335,299.0544
0.3752026,0,299.0659
0.4335494,5.308891,299.0769
0.4335494,0,299.0879
0.439222,0.4964385,299.0994
0.4424635,0.2790555,299.1111
0.4424635,0,299.1223
0.4213938,-2.067888,299.1323
0.4213938,0,299.1433
0.3922204,-2.571955,299.1545
0.3922204,0,299.1663
0.356564,-1.96864,299.1843
0.3233387,-3.202189,299.1948
0.3233387,0,299.2068
0.2714749,-6.812989,299.2144
0.2714749,0,299.2249
0.2439222,-3.216928,299.2334
0.2439222,0,299.2439
0.2171799,-2.491387,299.2546
0.2171799,0,299.2656
0.1871961,-2.709616,299.2766
0.1871961,0,299.2878
0.1547812,-2.854833,299.2991
0.1337115,-1.578964,299.3125
0.1337115,0,299.3235
0.1110211,-1.381196,299.3401
0.102107,-0.766541,299.3516
0.102107,0,299.3628
0.0923825,-1.144419,299.3713
0.0923825,0,299.3811
0.0923825,0,299.3901
0.09157212,-0.09398185,299.3989
0.09157212,0,299.4106
0.09400324,0.2331805,299.4211
0.1102107,1.45545,299.4324
0.1102107,0,299.4434
0.1353323,2.257732,299.4543
0.1353323,0,299.4663
0.1604538,2.340786,299.4771
0.184765,1.364563,299.4949
0.184765,0,299.5068
0.2074554,2.751656,299.5151
0.2074554,0,299.5259
0.2414911,3.955335,299.5344
0.2414911,0,299.5444
0.2714749,2.964641,299.5544
0.2714749,0,299.5698
0.2925446,2.74388,299.5776
0.2925446,0,299.5884
0.2884927,-0.2042034,299.6082
0.3071313,1.420981,299.6213
0.3071313,0,299.6323
0.3063209,-0.04341827,299.6511
0.3063209,0,299.6626
0.3055105,-0.09500964,299.6711
0.3055105,0,299.6812
0.3055105,0,299.6904
0.2990276,-0.7644908,299.6987
0.2990276,0,299.7109
0.2990276,0,299.7217
0.2917342,-0.6866484,299.7322
0.2917342,0,299.7434
0.2844408,-0.6617919,299.7544
0.2844408,0,299.7654
0.2714749,-1.170859,299.7766
0.2714749,0,299.7886
0.2601297,-0.6275421,299.8066
0.26094,0.06532253,299.8191
0.2520259,-0.6571649,299.8325
0.2520259,0,299.843
0.2382496,-1.205205,299.8542
0.2382496,0,299.8655
0.2333874,-0.4409003,299.8765
0.2333874,0,299.8875
0.2439222,0.9232595,299.8989
0.2439222,0,299.9104
0.2544571,1.001174,299.9209
0.2617504,0.6620502,299.9321
0.2617504,0,299.9436
0.2625608,0.04490388,299.9617
0.2747164,1.068999,299.9729
0.2747164,0,299.9844
0.2828201,0.997431,299.9924
0.2828201,0,300.0039
0,0,0.02124023
0,0,0.0390625
0,0,0.05078125
0,0,0.06225586
0,0,0.07275391
0,0,0.08398438
0,0,0.09521484
0,0,0.105957
0,0,0.1174316
0,0,0.1296387
0,0,0.1394043
0,0,0.1506348
0,0,0.1618652
0,0,0.1730957
0,0,0.1838379
0,0,0.1950684
0,0,0.2060547
0,0,0.2175293
0,0,0.2297363
0,0,0.2397461
0,0,0.2509766
0,0,0.2617188
0,0,0.2729492
0,0,0.2836914
0,0,0.295166
0,0,0.3061523
0,0,0.3171387
0,0,0.3295898
0,0,0.3393555
0,0,0.3503418
0,0,0.3615723
0,0,0.3730469
0,0,0.3845215
0,0,0.3950195
0,0,0.4057617
0,0,0.4172363
0,0,0.439209
0,0,0.4509277
0,0,0.4616699
0,0,0.4726563
0,0,0.4846191
0,0,0.494873
0,0,0.5068359
0,0,0.5170898
0,0,0.5285645
0,0,0.5393066
0,0,0.5505371
0,0,0.5620117
0,0,0.572998
0,0,0.5844727
0,0,0.5949707
0,0,0.6062012
0,0,0.6174316
0,0,0.628418
0,0,0.6396484
0,0,0.6503906
0,0,0.6618652
0,0,0.6726074
0,0,0.6835938
0,0,0.6948242
0,0,0.7058105
0,0,0.7172852
0,0,0.7282715
0,0,0.7392578
0,0,0.7504883
0,0,0.7614746
0,0,0.7724609
0,0,0.7841797
0,0,0.795166
0,0,0.8056641
0,0,0.8171387
0,0,0.8295898
0,0,0.8391113
0,0,0.8505859
0,0,0.8613281
0,0,0.8725586
0,0,0.8835449
0,0,0.8947754
0,0,0.9165039
0,0,0.9284668
0,0,0.9389648
0,0,0.9504395
0,0,0.9614258
0,0,0.9726563
0,0,0.9846191
0,0,0.994873
0,0,1.006592
0,0,1.016846
0,0,1.028564
0,0,1.039063
0,0,1.050293
0,0,1.061523
0,0,1.07251
0,0,1.083496
0,0,1.094727
0,0,1.106689
0,0,1.116943
0,0,1.128418
0,0,1.13916
0,0,1.150146
0,0,1.161377
0,0,1.172363
0,0,1.18335
0,0,1.19458
0,0,1.205566
0,0,1.216797
0,0,1.228516
0,0,1.239014
0,0,1.25
0,0,1.261475
0,0,1.272217
0,0,1.283203
0,0,1.307617
0,0,1.317627
0,0,1.328613
0,0,1.338867
0,0,1.350342
0,0,1.361084
0,0,1.37207
0,0,1.383545
0,0,1.394531
0,0,1.406006
0,0,1.417236
0,0,1.428467
0,0,1.438965
0,0,1.449951
0,0,1.461182
0,0,1.472168
0,0,1.483398
0,0,1.495117
0,0,1.505371
0,0,1.516846
0,0,1.529053
0,0,1.538818
0,0,1.550049
0,0,1.561035
0,0,1.572266
0,0,1.583252
0,0,1.594482
0,0,1.605225
0,0,1.616699
0,0,1.62793
0,0,1.638672
0,0,1.649902
0,0,1.660889
0,0,1.672119
0,0,1.68335
0,0,1.69458
0,0,1.715576
0,0,1.728271
0,0,1.738525
0,0,1.749756
0,0,1.76123
0,0,1.772217
0,0,1.783447
0,0,1.794189
0,0,1.80542
