Particles in Bath,Particles in Bin 1,Particles in Bin 2,Total particles,Time Stamp
565,4,142,750,295.1016
565,4,142,750,295.1423
565,4,142,750,295.2017
565,4,142,750,295.2456
565,4,142,750,295.2991
565,4,142,750,295.3452
565,4,142,750,295.4019
565,4,142,750,295.4531
565,4,142,750,295.4919
565,4,142,750,295.5452
565,4,142,750,295.6167
565,4,142,750,295.6511
565,4,142,750,295.7014
565,4,142,750,295.7454
565,4,142,750,295.793
565,4,142,750,295.845
565,4,142,750,295.9019
565,4,142,750,295.9419
565,4,142,750,295.9922
565,4,142,750,296.0449
565,4,142,750,296.0945
565,4,142,750,296.1453
565,4,142,750,296.2012
565,4,142,750,296.2507
565,4,142,750,296.301
565,4,142,750,296.3452
565,4,142,750,296.3962
565,4,142,750,296.4456
565,4,142,750,296.5083
565,4,142,750,296.542
565,4,142,750,296.6008
565,4,142,750,296.645
565,4,142,750,296.7009
565,4,142,750,296.7446
565,4,142,750,296.801
565,4,142,750,296.8455
565,4,142,750,296.9011
565,4,142,750,296.9448
565,4,142,750,297.0007
565,4,142,750,297.0452
565,4,142,750,297.0911
565,4,142,750,297.1482
565,4,142,750,297.1941
565,4,142,750,297.2449
565,4,142,750,297.301
565,4,142,750,297.3442
565,4,142,750,297.4009
565,4,142,750,297.4443
565,4,142,750,297.502
565,4,142,750,297.5444
565,4,142,750,297.6006
565,4,142,750,297.6445
565,4,142,750,297.6973
565,4,142,750,297.7439
565,4,142,750,297.8013
565,4,142,750,297.8491
565,4,142,750,297.9006
565,4,142,750,297.9441
565,4,142,750,298.0007
565,4,142,750,298.0442
565,4,142,750,298.1006
565,4,142,750,298.144
565,4,142,750,298.1997
565,4,142,750,298.2437
565,4,142,750,298.2998
565,4,142,750,298.344
565,4,142,750,298.4006
565,4,142,750,298.4438
565,4,142,750,298.4998
565,4,142,750,298.5444
565,4,142,750,298.5969
565,4,142,750,298.6438
565,4,142,750,298.7007
565,4,142,750,298.7437
565,4,142,750,298.7993
565,4,142,750,298.8438
565,4,142,750,298.8992
565,4,142,750,298.9548
565,4,142,750,299.0081
565,4,142,750,299.0435
565,4,142,750,299.0994
565,4,142,750,299.1433
565,4,142,750,299.1948
565,4,142,750,299.2439
565,4,142,750,299.2991
565,4,142,750,299.3516
565,4,142,750,299.3989
565,4,142,750,299.4434
565,4,142,750,299.4949
565,4,142,750,299.5444
565,4,142,750,299.6082
565,4,142,750,299.6511
565,4,142,750,299.6987
565,4,142,750,299.7434
565,4,142,750,299.8066
565,4,142,750,299.843
565,4,142,750,299.8989
565,4,142,750,299.9436
565,4,142,750,299.9924
750,0,0,750,0.02124023
750,0,0,750,0.06225586
750,0,0,750,0.1174316
750,0,0,750,0.1618652
750,0,0,750,0.2175293
750,0,0,750,0.2617188
750,0,0,750,0.3171387
750,0,0,750,0.3730469
750,0,0,750,0.4172363
750,0,0,750,0.4726563
750,0,0,750,0.5170898
750,0,0,750,0.5620117
750,0,0,750,0.6174316
750,0,0,750,0.6618652
750,0,0,750,0.7172852
750,0,0,750,0.7724609
750,0,0,750,0.8171387
750,0,0,750,0.8725586
750,0,0,750,0.9165039
750,0,0,750,0.9726563
750,0,0,750,1.016846
750,0,0,750,1.07251
750,0,0,750,1.116943
750,0,0,750,1.172363
750,0,0,750,1.216797
750,0,0,750,1.272217
750,0,0,750,1.317627
750,0,0,750,1.37207
750,0,0,750,1.417236
750,0,0,750,1.472168
750,0,0,750,1.516846
750,0,0,750,1.572266
750,0,0,750,1.616699
750,0,0,750,1.672119
750,0,0,750,1.715576
750,0,0,750,1.772217
750,0,0,750,1.816406
750,0,0,750,1.896729
750,0,0,750,1.917725
750,0,0,750,1.971924
750,0,0,750,2.016602
750,0,0,750,2.072021
750,0,0,750,2.116455
750,0,0,750,2.172119
750,0,0,750,2.216309
750,0,0,750,2.271729
750,0,0,750,2.316162
750,0,0,750,2.371582
750,0,0,750,2.416016
750,0,0,750,2.47168
750,0,0,750,2.516357
750,0,0,750,2.571777
750,0,0,750,2.616211
750,0,0,750,2.671631
750,0,0,750,2.716064
750,0,0,750,2.771484
750,0,0,750,2.816162
750,0,0,750,2.871826
750,0,0,750,2.916748
750,0,0,750,2.962891
750,0,0,750,3.01709
750,0,0,750,3.071289
750,0,0,750,3.115967
750,0,0,750,3.171387
750,0,0,750,3.21582
750,0,0,750,3.27124
750,0,0,750,3.315918
750,0,0,750,3.371338
750,0,0,750,3.415771
750,0,0,750,3.471436
750,0,0,750,3.517578
750,0,0,750,3.571533
750,0,0,750,3.615723
750,0,0,750,3.671387
750,0,0,750,3.71582
750,0,0,750,3.77124
750,0,0,750,3.815674
750,0,0,750,3.871094
750,0,0,750,3.915771
750,0,0,750,3.970947
750,0,0,750,4.024414
750,0,0,750,4.071289
750,0,0,750,4.115479
750,0,0,750,4.170898
750,0,0,750,4.215332
750,0,0,750,4.270752
750,0,0,750,4.31543
750,0,0,750,4.370605
750,0,0,750,4.415039
750,0,0,750,4.470703
750,0,0,750,4.515625
750,0,0,750,4.570801
750,0,0,750,4.615234
750,0,0,750,4.670654
750,0,0,750,4.716553
750,0,0,750,4.767822
750,0,0,750,4.814941
750,0,0,750,4.881104
750,0,0,750,4.915039
750,0,0,750,4.970459
750,0,0,750,5.015137
750,0,0,750,5.062988
750,0,0,750,5.11499
750,0,0,750,5.17041
750,0,0,750,5.215088
750,0,0,750,5.270264
750,0,0,750,5.315186
750,0,0,750,5.370361
750,0,0,750,5.414795
750,0,0,750,5.470947
750,0,0,750,5.516602
750,0,0,750,5.562256
750,0,0,750,5.618896
750,0,0,750,5.667969
750,0,0,750,5.717041
750,0,0,750,5.77002
750,0,0,750,5.814453
750,0,0,750,5.870117
750,0,0,750,5.914551
750,0,0,750,5.970215
750,0,0,750,6.014648
750,0,0,750,6.070068
750,0,0,750,6.114502
750,0,0,750,6.169922
750,0,0,750,6.2229
750,0,0,750,6.262939
750,0,0,750,6.314453
750,0,0,750,6.369873
750,0,0,750,6.414307
750,0,0,750,6.469727
750,0,0,750,6.51416
750,0,0,750,6.570068
750,0,0,750,6.614502
750,0,0,750,6.669678
750,0,0,750,6.714355
750,0,0,750,6.769775
750,0,0,750,6.814209
750,0,0,750,6.869873
750,0,0,750,6.914307
750,0,0,750,6.969482
750,0,0,750,7.01416
750,0,0,750,7.069336
750,0,0,750,7.122314
750,0,0,750,7.169434
750,0,0,750,7.213867
750,0,0,750,7.27002
750,0,0,750,7.313965
750,0,0,750,7.369385
750,0,0,750,7.413818
750,0,0,750,7.469482
750,0,0,750,7.51416
750,0,0,750,7.569336
750,0,0,750,7.634521
750,0,0,750,7.669189
750,0,0,750,7.713623
750,0,0,750,7.769287
750,0,0,750,7.813965
750,0,0,750,7.869385
750,0,0,750,7.913574
750,0,0,750,7.969482
750,0,0,750,8.013672
750,0,0,750,8.069092
750,0,0,750,8.113525
750,0,0,750,8.169189
750,0,0,750,8.214844
750,0,0,750,8.269043
750,0,0,750,8.313477
750,0,0,750,8.369385
750,0,0,750,8.41333
750,0,0,750,8.46875
750,0,0,750,8.513184
750,0,0,750,8.568848
750,0,0,750,8.613281
750,0,0,750,8.668945
750,0,0,750,8.713135
750,0,0,750,8.769531
750,0,0,750,8.81543
750,0,0,750,8.872803
750,0,0,750,8.917969
750,0,0,750,8.96875
750,0,0,750,9.013184
750,0,0,750,9.069336
750,0,0,750,9.113037
750,0,0,750,9.168457
750,0,0,750,9.212891
750,0,0,750,9.268555
750,0,0,750,9.312988
750,0,0,750,9.368652
750,0,0,750,9.412842
750,0,0,750,9.468506
750,0,0,750,9.512939
750,0,0,750,9.568604
750,0,0,750,9.613037
750,0,0,750,9.668213
750,0,0,750,9.712646
750,0,0,750,9.768799
750,0,0,750,9.822266
750,0,0,750,9.87207
750,0,0,750,9.91626
750,0,0,750,9.968262
750,0,0,750,10.0127
750,0,0,750,10.06812
750,0,0,750,10.11255
750,0,0,750,10.16821
750,0,0,750,10.2124
750,0,0,750,10.26807
750,0,0,750,10.31323
750,0,0,750,10.36816
750,0,0,750,10.41235
750,0,0,750,10.49414
750,0,0,750,10.51807
750,0,0,750,10.57031
750,0,0,750,10.62524
750,0,0,750,10.67065
750,0,0,750,10.71216
750,0,0,750,10.76782
750,0,0,750,10.8125
750,0,0,750,10.86768
750,0,0,750,10.9126
750,0,0,750,10.96875
750,0,0,750,11.01221
750,0,0,750,11.06763
750,0,0,750,11.1145
750,0,0,750,11.1687
750,0,0,750,11.21216
750,0,0,750,11.26782
750,0,0,750,11.31201
750,0,0,750,11.36816
750,0,0,750,11.41479
750,0,0,750,11.46948
750,0,0,750,11.5144
750,0,0,750,11.56836
750,0,0,750,11.61572
750,0,0,750,11.67065
750,0,0,750,11.71362
750,0,0,750,11.76367
750,0,0,750,11.81226
750,0,0,750,11.86768
750,0,0,750,11.91479
750,0,0,750,11.96753
750,0,0,750,12.01318
750,0,0,750,12.08008
750,0,0,750,12.1228
750,0,0,750,12.16724
750,0,0,750,12.21167
750,0,0,750,12.26733
750,0,0,750,12.31226
750,0,0,750,12.36987
750,0,0,750,12.4126
750,0,0,750,12.46753
750,0,0,750,12.51172
750,0,0,750,12.56714
750,0,0,750,12.61182
750,0,0,750,12.66772
750,0,0,750,12.72314
750,0,0,750,12.76733
750,0,0,750,12.81226
750,0,0,750,12.86694
750,0,0,750,12.92261
750,0,0,750,12.96924
750,0,0,750,13.0166
750,0,0,750,13.07202
750,0,0,750,13.12256
750,0,0,750,13.16724
750,0,0,750,13.21191
750,0,0,750,13.2666
750,0,0,750,13.32275
750,0,0,750,13.396
750,0,0,750,13.41675
750,0,0,750,13.46631
750,0,0,750,13.52197
750,0,0,750,13.56689
750,0,0,750,13.62231
750,0,0,750,13.6665
750,0,0,750,13.72217
750,0,0,750,13.7666
750,0,0,750,13.81177
750,0,0,750,13.86646
750,0,0,750,13.92212
750,0,0,750,13.96631
750,0,0,750,14.02271
750,0,0,750,14.06958
750,0,0,750,14.1228
750,0,0,750,14.1665
750,0,0,750,14.22217
750,0,0,750,14.2666
750,0,0,750,14.32178
750,0,0,750,14.36621
750,0,0,750,14.41357
750,0,0,750,14.46606
750,0,0,750,14.52148
750,0,0,750,14.56665
750,0,0,750,14.61182
750,0,0,750,14.66846
750,0,0,750,14.72095
750,0,0,750,14.76587
750,0,0,750,14.82178
750,0,0,750,14.86597
750,0,0,750,14.92139
750,0,0,750,14.96582
750,0,0,750,15.02173
750,0,0,750,15.06689
750,0,0,750,15.12134
750,0,0,750,15.16675
750,0,0,750,15.22119
750,0,0,750,15.26636
750,0,0,750,15.32153
750,0,0,750,15.36865
750,0,0,750,15.42139
750,0,0,750,15.46558
750,0,0,750,15.521
750,0,0,750,15.56543
750,0,0,750,15.62134
750,0,0,750,15.66919
750,0,0,750,15.71411
750,0,0,750,15.76538
750,0,0,750,15.82104
750,0,0,750,15.86548
750,0,0,750,15.9209
750,0,0,750,15.96558
750,0,0,750,16.02979
750,0,0,750,16.06543
750,0,0,750,16.12134
750,0,0,750,16.16528
750,0,0,750,16.24243
750,0,0,750,16.26636
750,0,0,750,16.32104
750,0,0,750,16.36523
750,0,0,750,16.42065
750,0,0,750,16.46533
750,0,0,750,16.52075
750,0,0,750,16.56494
750,0,0,750,16.62061
750,0,0,750,16.66504
750,0,0,750,16.7207
750,0,0,750,16.76489
750,0,0,750,16.81348
750,0,0,750,16.86499
750,0,0,750,16.92065
750,0,0,750,16.96533
750,0,0,750,17.02051
750,0,0,750,17.06519
750,0,0,750,17.12158
750,0,0,750,17.16699
750,0,0,750,17.21191
750,0,0,750,17.26807
750,0,0,750,17.32349
750,0,0,750,17.3645
750,0,0,750,17.42017
750,0,0,750,17.4646
750,0,0,750,17.52026
750,0,0,750,17.56445
750,0,0,750,17.62012
750,0,0,750,17.66431
750,0,0,750,17.71997
750,0,0,750,17.7644
750,0,0,750,17.82129
750,0,0,750,17.86475
750,0,0,750,17.92017
750,0,0,750,17.96436
750,0,0,750,18.02197
750,0,0,750,18.06641
750,0,0,750,18.12012
750,0,0,750,18.16479
750,0,0,750,18.21997
750,0,0,750,18.2644
750,0,0,750,18.32007
750,0,0,750,18.36426
750,0,0,750,18.41992
750,0,0,750,18.46411
750,0,0,750,18.51294
750,0,0,750,18.56445
750,0,0,750,18.61987
750,0,0,750,18.66406
750,0,0,750,18.71973
750,0,0,750,18.76392
750,0,0,750,18.81982
750,0,0,750,18.86401
750,0,0,750,18.91968
750,0,0,750,18.96411
750,0,0,750,19.01953
750,0,0,750,19.07471
750,0,0,750,19.12085
750,0,0,750,19.16382
750,0,0,750,19.21973
750,0,0,750,19.26392
750,0,0,750,19.31958
750,0,0,750,19.36401
750,0,0,750,19.41968
750,0,0,750,19.46411
750,0,0,750,19.51929
750,0,0,750,19.56348
750,0,0,750,19.61938
750,0,0,750,19.66357
