Transform Name,Closest collider,Distance X,Distance Y,Distance Z,Magnitude,Time Stamp
Wrist,Top Steel shiny,-0.9885673,-3.695488E-06,3.017036,3.174865,297.9287
Wrist,Top Steel shiny,-0.9926817,-3.695488E-06,2.986398,3.14706,297.9417
Wrist,Top Steel shiny,-0.9926817,-3.695488E-06,2.986398,3.14706,297.9534
Wrist,Top Steel shiny,-0.9969394,-4.053116E-06,2.955456,3.119072,297.9619
Wrist,Top Steel shiny,-0.9969394,-4.053116E-06,2.955456,3.119072,297.9719
Wrist,Top Steel shiny,-1.001324,-4.053116E-06,2.923899,3.090605,297.9805
Wrist,Top Steel shiny,-1.001324,-4.053116E-06,2.923899,3.090605,297.9907
Wrist,Top Steel shiny,-1.005765,-3.933907E-06,2.891633,3.061553,298.0022
Wrist,Top Steel shiny,-1.005765,-3.933907E-06,2.891633,3.061553,298.0132
Wrist,Top Steel shiny,-1.010021,-3.576279E-06,2.858761,3.03194,298.0242
Wrist,Top Steel shiny,-1.010021,-3.576279E-06,2.858761,3.03194,298.0354
Wrist,Top Steel shiny,-1.013941,-4.053116E-06,2.825381,3.001808,298.0469
Wrist,Top Steel shiny,-1.013941,-4.053116E-06,2.825381,3.001808,298.0586
Wrist,Top Steel shiny,-1.017489,-4.053116E-06,2.791582,2.971231,298.0688
Wrist,Top Steel shiny,-1.020688,-3.814697E-06,2.757567,2.940405,298.0808
Wrist,Top Steel shiny,-1.020688,-3.814697E-06,2.757567,2.940405,298.0918
Wrist,Top Steel shiny,-1.02358,-3.695488E-06,2.723393,2.909396,298.1021
Wrist,Top Steel shiny,-1.02358,-3.695488E-06,2.723393,2.909396,298.1133
Wrist,Top Steel shiny,-1.02629,-3.933907E-06,2.689069,2.878257,298.1243
Wrist,Top Steel shiny,-1.02629,-3.933907E-06,2.689069,2.878257,298.1353
Wrist,Top Steel shiny,-1.028844,-3.695488E-06,2.654756,2.847148,298.1465
Wrist,Top Steel shiny,-1.028844,-3.695488E-06,2.654756,2.847148,298.1575
Wrist,Top Steel shiny,-1.031149,-3.576279E-06,2.620583,2.816154,298.1685
Wrist,Top Steel shiny,-1.033291,-3.933907E-06,2.58696,2.785687,298.1797
Wrist,Top Steel shiny,-1.033291,-3.933907E-06,2.58696,2.785687,298.1909
Wrist,Top Steel shiny,-1.03536,-3.933907E-06,2.554146,2.756018,298.2024
Wrist,Top Steel shiny,-1.03536,-3.933907E-06,2.554146,2.756018,298.2134
Wrist,Top Steel shiny,-1.037492,-3.814697E-06,2.522069,2.727127,298.2246
Wrist,Top Steel shiny,-1.037492,-3.814697E-06,2.522069,2.727127,298.2351
Wrist,Top Steel shiny,-1.039748,-3.695488E-06,2.49052,2.698845,298.2466
Wrist,Top Steel shiny,-1.039748,-3.695488E-06,2.49052,2.698845,298.2581
Wrist,Top Steel shiny,-1.042028,-3.814697E-06,2.459509,2.671144,298.2688
Wrist,Top Steel shiny,-1.044216,-3.695488E-06,2.429349,2.644262,298.2803
Wrist,Top Steel shiny,-1.044216,-3.695488E-06,2.429349,2.644262,298.291
Wrist,Top Steel shiny,-1.046269,-3.576279E-06,2.400207,2.618334,298.3018
Wrist,Top Steel shiny,-1.046269,-3.576279E-06,2.400207,2.618334,298.313
Wrist,Top Steel shiny,-1.048163,-3.933907E-06,2.372302,2.593542,298.3242
Wrist,Top Steel shiny,-1.048163,-3.933907E-06,2.372302,2.593542,298.3354
Wrist,Top Steel shiny,-1.049833,-3.695488E-06,2.345623,2.569844,298.3464
Wrist,Top Steel shiny,-1.049833,-3.695488E-06,2.345623,2.569844,298.3584
Wrist,Top Steel shiny,-1.051198,-3.933907E-06,2.3199,2.546949,298.3684
Wrist,Top Steel shiny,-1.05239,-3.695488E-06,2.295125,2.524901,298.3809
Wrist,Top Steel shiny,-1.05239,-3.695488E-06,2.295125,2.524901,298.3921
Wrist,Top Steel shiny,-1.053627,-3.576279E-06,2.27137,2.503848,298.4019
Wrist,Top Steel shiny,-1.053627,-3.576279E-06,2.27137,2.503848,298.4131
Wrist,Top Steel shiny,-1.055117,-3.933907E-06,2.248608,2.48385,298.4243
Wrist,Top Steel shiny,-1.055117,-3.933907E-06,2.248608,2.48385,298.4351
Wrist,Top Steel shiny,-1.05705,-3.576279E-06,2.226901,2.465044,298.4465
Wrist,Top Steel shiny,-1.05705,-3.576279E-06,2.226901,2.465044,298.4575
Wrist,Top Steel shiny,-1.059599,-3.933907E-06,2.206217,2.447477,298.4685
Wrist,Top Steel shiny,-1.062939,-3.695488E-06,2.18663,2.431293,298.4807
Wrist,Top Steel shiny,-1.062939,-3.695488E-06,2.18663,2.431293,298.4907
Wrist,Top Steel shiny,-1.067105,-3.695488E-06,2.168151,2.416524,298.5017
Wrist,Top Steel shiny,-1.067105,-3.695488E-06,2.168151,2.416524,298.5134
Wrist,Top Steel shiny,-1.072051,-3.933907E-06,2.150856,2.403222,298.5239
Wrist,Top Steel shiny,-1.072051,-3.933907E-06,2.150856,2.403222,298.5354
Wrist,Top Steel shiny,-1.077633,-3.695488E-06,2.134689,2.391274,298.5469
Wrist,Top Steel shiny,-1.083698,-3.576279E-06,2.119678,2.380638,298.5588
Wrist,Top Steel shiny,-1.083698,-3.576279E-06,2.119678,2.380638,298.571
Wrist,Top Steel shiny,-1.090025,-3.814697E-06,2.105728,2.371127,298.5825
Wrist,Top Steel shiny,-1.090025,-3.814697E-06,2.105728,2.371127,298.5945
Wrist,Top Steel shiny,-1.096295,-3.814697E-06,2.092455,2.362251,298.6052
Wrist,Top Steel shiny,-1.102347,-3.933907E-06,2.07974,2.353824,298.627
Wrist,Top Steel shiny,-1.102347,-3.933907E-06,2.07974,2.353824,298.637
