Transform Name,Closest collider,Distance X,Distance Y,Distance Z,Magnitude,Time Stamp
Wrist,Top Steel shiny,-0.2956455,-4.291534E-06,1.581155,1.608557,296.7019
Wrist,Top Steel shiny,-0.2954286,-4.410744E-06,1.581747,1.6091,296.7278
Wrist,Top Steel shiny,-0.295152,-4.410744E-06,1.58399,1.611253,296.7509
Wrist,Top Steel shiny,-0.2951339,-4.053116E-06,1.585757,1.612988,296.7727
Wrist,Top Steel shiny,-0.2950667,-4.291534E-06,1.587852,1.615035,296.7931
Wrist,Top Steel shiny,-0.2949308,-4.291534E-06,1.590221,1.617339,296.8157
Wrist,Top Steel shiny,-0.294709,-4.529953E-06,1.592781,1.619817,296.8395
Wrist,Top Steel shiny,-0.2944303,-4.410744E-06,1.595419,1.622359,296.8621
Wrist,Top Steel shiny,-0.2940658,-4.291534E-06,1.59807,1.6249,296.8818
Wrist,Top Steel shiny,-0.2935417,-4.291534E-06,1.600771,1.627462,296.9042
Wrist,Top Steel shiny,-0.292914,-4.291534E-06,1.603479,1.630013,296.927
Wrist,Top Steel shiny,-0.291326,-4.410744E-06,1.608425,1.634595,296.9489
Wrist,Top Steel shiny,-0.2904442,-4.529953E-06,1.610718,1.636695,296.9713
Wrist,Top Steel shiny,-0.289539,-4.172325E-06,1.613051,1.638831,297.0016
Wrist,Top Steel shiny,-0.2885302,-4.291534E-06,1.615445,1.641009,297.0153
Wrist,Top Steel shiny,-0.2874256,-4.410744E-06,1.617924,1.643257,297.0377
Wrist,Top Steel shiny,-0.2861901,-4.410744E-06,1.620394,1.645473,297.0598
Wrist,Top Steel shiny,-0.2848323,-4.053116E-06,1.622728,1.647536,297.082
Wrist,Top Steel shiny,-0.2834583,-4.172325E-06,1.624877,1.649416,297.104
Wrist,Top Steel shiny,-0.2821901,-4.172325E-06,1.626842,1.651135,297.1265
Wrist,Top Steel shiny,-0.2802251,-4.410744E-06,1.630014,1.653926,297.1558
Wrist,Top Steel shiny,-0.2796319,-4.053116E-06,1.631129,1.654925,297.1719
Wrist,Top Steel shiny,-0.2792993,-4.053116E-06,1.631832,1.655561,297.193
Wrist,Top Steel shiny,-0.2792369,-4.410744E-06,1.632081,1.655796,297.2152
Wrist,Top Steel shiny,-0.2794688,-4.172325E-06,1.631854,1.655612,297.2374
Wrist,Top Steel shiny,-0.2799898,-4.053116E-06,1.631172,1.655027,297.2596
Wrist,Top Steel shiny,-0.2808445,-4.410744E-06,1.630047,1.654063,297.2823
Wrist,Top Steel shiny,-0.2821234,-4.053116E-06,1.628621,1.652876,297.3038
Wrist,Top Steel shiny,-0.2837701,-4.172325E-06,1.626921,1.651483,297.3263
Wrist,Top Steel shiny,-0.288061,-4.172325E-06,1.62307,1.648435,297.3485
Wrist,Top Steel shiny,-0.2907484,-4.410744E-06,1.621097,1.646963,297.3706
Wrist,Top Steel shiny,-0.2937217,-4.410744E-06,1.619075,1.645502,297.3927
Wrist,Top Steel shiny,-0.2970163,-4.529953E-06,1.617085,1.644136,297.415
Wrist,Top Steel shiny,-0.3007982,-4.291534E-06,1.615242,1.643011,297.4376
Wrist,Top Steel shiny,-0.3053507,-4.053116E-06,1.613647,1.642284,297.4677
Wrist,Top Steel shiny,-0.3108976,-4.291534E-06,1.612556,1.642253,297.4807
Wrist,Top Steel shiny,-0.3173559,-4.410744E-06,1.612083,1.643023,297.495
Wrist,Top Steel shiny,-0.3173559,-4.410744E-06,1.612083,1.643023,297.5063
Wrist,Top Steel shiny,-0.3245214,-4.172325E-06,1.612159,1.644497,297.5159
Wrist,Top Steel shiny,-0.3322535,-4.291534E-06,1.612716,1.646586,297.5306
Wrist,Top Steel shiny,-0.3322535,-4.291534E-06,1.612716,1.646586,297.5453
Wrist,Top Steel shiny,-0.3404314,-4.291534E-06,1.613704,1.649223,297.5597
Wrist,Top Steel shiny,-0.3489371,-4.291534E-06,1.615142,1.652404,297.5718
Wrist,Top Steel shiny,-0.3489371,-4.291534E-06,1.615142,1.652404,297.5844
Wrist,Top Steel shiny,-0.3576112,-4.529953E-06,1.616934,1.656008,297.5962
Wrist,Top Steel shiny,-0.3664032,-4.172325E-06,1.61903,1.659973,297.6176
Wrist,Top Steel shiny,-0.3752812,-4.291534E-06,1.62146,1.664322,297.6299
Wrist,Top Steel shiny,-0.3752812,-4.291534E-06,1.62146,1.664322,297.6431
Wrist,Top Steel shiny,-0.3841338,-4.529953E-06,1.624317,1.669121,297.6527
Wrist,Top Steel shiny,-0.3841338,-4.529953E-06,1.624317,1.669121,297.6652
Wrist,Top Steel shiny,-0.3926967,-4.410744E-06,1.627565,1.67427,297.6749
Wrist,Top Steel shiny,-0.3926967,-4.410744E-06,1.627565,1.67427,297.6868
Wrist,Top Steel shiny,-0.4007152,-4.410744E-06,1.631088,1.679589,297.6989
Wrist,Top Steel shiny,-0.4081364,-4.291534E-06,1.634885,1.685059,297.7115
Wrist,Top Steel shiny,-0.414883,-4.529953E-06,1.638973,1.690669,297.7324
Wrist,Top Steel shiny,-0.414883,-4.529953E-06,1.638973,1.690669,297.7483
Wrist,Top Steel shiny,-0.4263713,-4.172325E-06,1.648122,1.702381,297.7787
Wrist,Top Steel shiny,-0.4314325,-4.053116E-06,1.653173,1.708542,297.7924
Wrist,Top Steel shiny,-0.4360393,-4.410744E-06,1.65845,1.714814,297.8149
Wrist,Top Steel shiny,-0.4401379,-4.172325E-06,1.663899,1.721128,297.837
Wrist,Top Steel shiny,-0.4436598,-4.053116E-06,1.669438,1.727384,297.8593
Wrist,Top Steel shiny,-0.4466735,-4.172325E-06,1.674968,1.733504,297.8816
Wrist,Top Steel shiny,-0.4493114,-4.410744E-06,1.680408,1.739441,297.9041
Wrist,Top Steel shiny,-0.4535913,-4.172325E-06,1.690782,1.750568,297.9344
Wrist,Top Steel shiny,-0.4553345,-4.291534E-06,1.695489,1.755566,297.9504
Wrist,Top Steel shiny,-0.4569402,-4.529953E-06,1.699858,1.760202,297.9705
Wrist,Top Steel shiny,-0.4586189,-4.053116E-06,1.703926,1.764567,297.9927
Wrist,Top Steel shiny,-0.4605253,-4.172325E-06,1.707781,1.768784,298.0148
Wrist,Top Steel shiny,-0.4627375,-4.291534E-06,1.711489,1.772941,298.0372
Wrist,Top Steel shiny,-0.4652217,-4.172325E-06,1.715035,1.777014,298.0598
Wrist,Top Steel shiny,-0.4708229,-4.529953E-06,1.721535,1.784757,298.0896
Wrist,Top Steel shiny,-0.4708229,-4.529953E-06,1.721535,1.784757,298.1074
Wrist,Top Steel shiny,-0.4738441,-4.291534E-06,1.724387,1.788306,298.126
Wrist,Top Steel shiny,-0.4770458,-4.172325E-06,1.726961,1.791638,298.1482
Wrist,Top Steel shiny,-0.4839646,-4.291534E-06,1.731123,1.797501,298.1703
Wrist,Top Steel shiny,-0.487597,-4.291534E-06,1.732589,1.799893,298.1923
Wrist,Top Steel shiny,-0.4913772,-4.410744E-06,1.733708,1.801997,298.2148
Wrist,Top Steel shiny,-0.4952794,-4.410744E-06,1.734667,1.803988,298.2452
Wrist,Top Steel shiny,-0.4992958,-4.529953E-06,1.735568,1.80596,298.2592
Wrist,Top Steel shiny,-0.5033782,-4.172325E-06,1.736523,1.80801,298.2814
Wrist,Top Steel shiny,-0.507426,-4.053116E-06,1.737565,1.810142,298.3035
Wrist,Top Steel shiny,-0.5112984,-4.053116E-06,1.738723,1.812342,298.3257
Wrist,Top Steel shiny,-0.5148726,-4.053116E-06,1.740095,1.81467,298.348
Wrist,Top Steel shiny,-0.5207073,-4.410744E-06,1.743748,1.819833,298.3705
Wrist,Top Steel shiny,-0.5226884,-4.291534E-06,1.745985,1.822544,298.3925
Wrist,Top Steel shiny,-0.5240319,-4.410744E-06,1.748569,1.825404,298.4146
Wrist,Top Steel shiny,-0.524814,-4.053116E-06,1.751653,1.828584,298.4368
Wrist,Top Steel shiny,-0.5248861,-4.291534E-06,1.755241,1.832041,298.4591
Wrist,Top Steel shiny,-0.5242215,-4.291534E-06,1.759256,1.835699,298.4734
Wrist,Top Steel shiny,-0.5242215,-4.291534E-06,1.759256,1.835699,298.4877
Wrist,Top Steel shiny,-0.5229012,-4.291534E-06,1.763612,1.839498,298.5005
Wrist,Top Steel shiny,-0.5210028,-4.529953E-06,1.768151,1.843313,298.5157
Wrist,Top Steel shiny,-0.5186993,-4.410744E-06,1.772758,1.847085,298.5302
Wrist,Top Steel shiny,-0.5160964,-4.410744E-06,1.777326,1.850741,298.5511
Wrist,Top Steel shiny,-0.5160964,-4.410744E-06,1.777326,1.850741,298.5641
Wrist,Top Steel shiny,-0.5133308,-4.410744E-06,1.781795,1.854265,298.5739
Wrist,Top Steel shiny,-0.5133308,-4.410744E-06,1.781795,1.854265,298.5864
Wrist,Top Steel shiny,-0.5105076,-4.529953E-06,1.786172,1.857695,298.5978
Wrist,Top Steel shiny,-0.5076918,-4.529953E-06,1.790385,1.860976,298.61
Wrist,Top Steel shiny,-0.5076918,-4.529953E-06,1.790385,1.860976,298.6234
Wrist,Top Steel shiny,-0.5048689,-4.053116E-06,1.794288,1.863964,298.6483
Wrist,Top Steel shiny,-0.4999488,-4.172325E-06,1.801393,1.869482,298.6702
Wrist,Top Steel shiny,-0.4982845,-4.172325E-06,1.804265,1.871807,298.6925
Wrist,Top Steel shiny,-0.4971026,-4.172325E-06,1.80622,1.873377,298.717
Wrist,Top Steel shiny,-0.496378,-4.529953E-06,1.807275,1.874202,298.7385
Wrist,Top Steel shiny,-0.4960888,-4.172325E-06,1.807564,1.874404,298.7588
Wrist,Top Steel shiny,-0.4961901,-4.053116E-06,1.807234,1.874113,298.7813
Wrist,Top Steel shiny,-0.496609,-4.291534E-06,1.806435,1.873453,298.8033
Wrist,Top Steel shiny,-0.4972549,-4.410744E-06,1.805318,1.872548,298.8257
Wrist,Top Steel shiny,-0.4988539,-4.291534E-06,1.802704,1.870453,298.8486
Wrist,Top Steel shiny,-0.49964,-4.172325E-06,1.801452,1.869457,298.8699
Wrist,Top Steel shiny,-0.5003336,-4.291534E-06,1.800359,1.86859,298.8923
Wrist,Top Steel shiny,-0.5008972,-4.410744E-06,1.799483,1.867896,298.9144
Wrist,Top Steel shiny,-0.5013128,-4.172325E-06,1.798849,1.867397,298.9371
Wrist,Top Steel shiny,-0.5015761,-4.410744E-06,1.798463,1.867096,298.959
Wrist,Top Steel shiny,-0.5016971,-4.410744E-06,1.798308,1.866979,298.981
Wrist,Top Steel shiny,-0.5016964,-4.410744E-06,1.79835,1.86702,299.0035
Wrist,Top Steel shiny,-0.5015972,-4.172325E-06,1.798548,1.867183,299.0254
Wrist,Top Steel shiny,-0.5014275,-4.053116E-06,1.798853,1.867432,299.0477
Wrist,Top Steel shiny,-0.5009782,-4.291534E-06,1.799612,1.868042,299.0698
Wrist,Top Steel shiny,-0.5007473,-4.172325E-06,1.799985,1.86834,299.0925
Wrist,Top Steel shiny,-0.5005361,-4.291534E-06,1.800317,1.868603,299.1144
Wrist,Top Steel shiny,-0.5003589,-4.291534E-06,1.800589,1.868817,299.1366
Wrist,Top Steel shiny,-0.5002217,-4.410744E-06,1.80079,1.868975,299.1589
Wrist,Top Steel shiny,-0.5001283,-4.529953E-06,1.80092,1.869074,299.181
Wrist,Top Steel shiny,-0.5000783,-4.291534E-06,1.800981,1.86912,299.203
Wrist,Top Steel shiny,-0.5000666,-4.291534E-06,1.800982,1.869119,299.2253
Wrist,Top Steel shiny,-0.5000883,-4.172325E-06,1.800936,1.86908,299.2477
Wrist,Top Steel shiny,-0.5001956,-4.053116E-06,1.800753,1.868932,299.2697
Wrist,Top Steel shiny,-0.5002655,-4.529953E-06,1.800642,1.868844,299.2917
Wrist,Top Steel shiny,-0.5003354,-4.410744E-06,1.800533,1.868757,299.3143
Wrist,Top Steel shiny,-0.5004007,-4.410744E-06,1.800433,1.868678,299.3363
Wrist,Top Steel shiny,-0.5004566,-4.410744E-06,1.800349,1.868613,299.3584
Wrist,Top Steel shiny,-0.5005,-4.172325E-06,1.800285,1.868563,299.3807
Wrist,Top Steel shiny,-0.5005301,-4.410744E-06,1.800242,1.868529,299.3939
Wrist,Top Steel shiny,-0.5005301,-4.410744E-06,1.800242,1.868529,299.4066
Wrist,Top Steel shiny,-0.5005472,-4.410744E-06,1.800219,1.868511,299.417
Wrist,Top Steel shiny,-0.5005524,-4.529953E-06,1.800213,1.868508,299.4315
Wrist,Top Steel shiny,-0.5005524,-4.529953E-06,1.800213,1.868508,299.4457
Wrist,Top Steel shiny,-0.5005475,-4.291534E-06,1.800223,1.868515,299.4594
Wrist,Top Steel shiny,-0.5005347,-4.291534E-06,1.800244,1.868532,299.4718
Wrist,Top Steel shiny,-0.5005347,-4.291534E-06,1.800244,1.868532,299.4849
Wrist,Top Steel shiny,-0.5005172,-4.410744E-06,1.800272,1.868554,299.4967
Wrist,Top Steel shiny,-0.5004974,-4.410744E-06,1.800303,1.868579,299.5107
Wrist,Top Steel shiny,-0.5004974,-4.410744E-06,1.800303,1.868579,299.5227
Wrist,Top Steel shiny,-0.5004767,-4.410744E-06,1.800335,1.868605,299.5369
