Transform Name,Closest collider,Distance X,Distance Y,Distance Z,Magnitude,Time Stamp
Box002,Top Steel shiny,0.5657919,-3.635883E-06,2.87202,2.927221,298.7671
Box002,Top Steel shiny,0.5725605,-3.874302E-06,2.89689,2.95293,298.7832
Box002,Top Steel shiny,0.5725605,-3.874302E-06,2.89689,2.95293,298.7953
Box002,Top Steel shiny,0.5809608,-3.993511E-06,2.918602,2.975862,298.8055
Box002,Top Steel shiny,0.5890118,-3.814697E-06,2.942123,3.000504,298.8179
Box002,Top Steel shiny,0.5890118,-3.814697E-06,2.942123,3.000504,298.8325
Box002,Top Steel shiny,0.5961863,-3.576279E-06,2.96505,3.024394,298.8464
Box002,Top Steel shiny,0.60416,-3.695488E-06,2.989546,3.049983,298.8585
Box002,Top Steel shiny,0.60416,-3.695488E-06,2.989546,3.049983,298.8708
Box002,Top Steel shiny,0.6117154,-3.814697E-06,3.014727,3.076162,298.8826
Box002,Top Steel shiny,0.6198725,-3.755093E-06,3.039133,3.101704,298.9019
Box002,Top Steel shiny,0.625125,-3.695488E-06,3.065737,3.128822,298.9238
Box002,Top Steel shiny,0.6311089,-4.053116E-06,3.090374,3.154158,298.946
Box002,Top Steel shiny,0.6379116,-3.993511E-06,3.116807,3.181418,298.9683
Box002,Top Steel shiny,0.6436555,-3.993511E-06,3.143166,3.208393,298.9904
Box002,Top Steel shiny,0.6465313,-3.874302E-06,3.173224,3.238419,299.0128
Box002,Top Steel shiny,0.6515275,-3.874302E-06,3.19774,3.263438,299.035
Box002,Top Steel shiny,0.6589505,-3.993511E-06,3.244939,3.31117,299.0569
Box002,Top Steel shiny,0.6618617,-3.755093E-06,3.263604,3.330041,299.079
Box002,Top Steel shiny,0.6639912,-3.695488E-06,3.280762,3.34728,299.1018
Box002,Top Steel shiny,0.6657199,-3.635883E-06,3.295554,3.362121,299.1238
Box002,Top Steel shiny,0.6687331,-3.874302E-06,3.307741,3.374664,299.146
Box002,Top Steel shiny,0.670921,-3.635883E-06,3.318877,3.386012,299.1691
Box002,Top Steel shiny,0.6741783,-3.874302E-06,3.327877,3.395479,299.1937
