Particles in Bath,Particles in Bin 1,Particles in Bin 2,Total particles,Time Stamp
750,0,0,750,0.06689453
750,0,0,750,0.1098633
750,0,0,750,0.1549072
750,0,0,750,0.2020264
750,0,0,750,0.2650146
750,0,0,750,0.3100586
750,0,0,750,0.3536377
750,0,0,750,0.4207764
750,0,0,750,0.465332
750,0,0,750,0.5090332
750,0,0,750,0.5537109
750,0,0,750,0.6207275
750,0,0,750,0.6655273
750,0,0,750,0.7094727
750,0,0,750,0.7545166
750,0,0,750,0.8000488
750,0,0,750,0.8513184
750,0,0,750,0.901123
750,0,0,750,0.9624023
750,0,0,750,1.005859
750,0,0,750,1.050537
750,0,0,750,1.117188
750,0,0,750,1.161987
750,0,0,750,1.205811
750,0,0,750,1.250366
750,0,0,750,1.317139
750,0,0,750,1.361938
750,0,0,750,1.405884
750,0,0,750,1.450195
750,0,0,750,1.516968
750,0,0,750,1.562012
750,0,0,750,1.605713
750,0,0,750,1.650146
750,0,0,750,1.744995
750,0,0,750,1.761841
750,0,0,750,1.812256
750,0,0,750,1.850586
750,0,0,750,1.906128
750,0,0,750,1.949829
750,0,0,750,2.016479
750,0,0,750,2.06189
750,0,0,750,2.105591
750,0,0,750,2.149902
750,0,0,750,2.217407
750,0,0,750,2.261963
750,0,0,750,2.30542
750,0,0,750,2.350342
750,0,0,750,2.416382
750,0,0,750,2.461548
750,0,0,750,2.505127
750,0,0,750,2.549561
750,0,0,750,2.616333
750,0,0,750,2.654907
750,0,0,750,2.705811
750,0,0,750,2.761475
750,0,0,750,2.804932
750,0,0,750,2.849731
750,0,0,750,2.91626
750,0,0,750,2.961304
750,0,0,750,3.005615
750,0,0,750,3.049561
750,0,0,750,3.116211
750,0,0,750,3.161621
750,0,0,750,3.205078
750,0,0,750,3.271606
750,0,0,750,3.316284
750,0,0,750,3.360962
750,0,0,750,3.404663
750,0,0,750,3.471558
750,0,0,750,3.510132
750,0,0,750,3.550049
750,0,0,750,3.615723
750,0,0,750,3.661499
750,0,0,750,3.7052
750,0,0,750,3.771362
750,0,0,750,3.815796
750,0,0,750,3.860718
750,0,0,750,3.904663
750,0,0,750,3.971558
750,0,0,750,4.015625
750,0,0,750,4.061035
750,0,0,750,4.104858
750,0,0,750,4.170898
750,0,0,750,4.21582
750,0,0,750,4.261353
750,0,0,750,4.304321
750,0,0,750,4.351074
750,0,0,750,4.400269
750,0,0,750,4.449585
750,0,0,750,4.504883
750,0,0,750,4.571411
750,0,0,750,4.615601
750,0,0,750,4.661621
750,0,0,750,4.70459
750,0,0,750,4.751343
750,0,0,750,4.815186
750,0,0,750,4.860474
750,0,0,750,4.904053
750,0,0,750,4.970581
750,0,0,750,5.015259
750,0,0,750,5.060181
750,0,0,750,5.104004
750,0,0,750,5.170654
750,0,0,750,5.205811
750,0,0,750,5.251953
750,0,0,750,5.308838
750,0,0,750,5.361206
750,0,0,750,5.403809
750,0,0,750,5.470459
750,0,0,750,5.515259
750,0,0,750,5.560181
750,0,0,750,5.604248
750,0,0,750,5.670654
750,0,0,750,5.716919
750,0,0,750,5.760132
750,0,0,750,5.803833
750,0,0,750,5.870361
750,0,0,750,5.914795
750,0,0,750,5.959473
750,0,0,750,6.003662
750,0,0,750,6.070313
750,0,0,750,6.104858
750,0,0,750,6.155151
750,0,0,750,6.211182
750,0,0,750,6.26001
750,0,0,750,6.303589
750,0,0,750,6.370117
750,0,0,750,6.414429
750,0,0,750,6.460693
750,0,0,750,6.503296
750,0,0,750,6.570068
750,0,0,750,6.614746
750,0,0,750,6.672852
750,0,0,750,6.703125
750,0,0,750,6.77002
750,0,0,750,6.814575
750,0,0,750,6.859497
750,0,0,750,6.905151
750,0,0,750,6.949829
750,0,0,750,7.014648
750,0,0,750,7.059082
750,0,0,750,7.103027
750,0,0,750,7.1698
750,0,0,750,7.213989
750,0,0,750,7.258667
750,0,0,750,7.302979
750,0,0,750,7.369629
750,0,0,750,7.41626
750,0,0,750,7.450317
750,0,0,750,7.505127
750,0,0,750,7.555542
750,0,0,750,7.603149
750,0,0,750,7.669678
750,0,0,750,7.714478
750,0,0,750,7.758911
750,0,0,750,7.802612
750,0,0,750,7.869629
750,0,0,750,7.91626
750,0,0,750,7.959595
750,0,0,750,8.00293
750,0,0,750,8.069336
750,0,0,750,8.113892
750,0,0,750,8.158081
750,0,0,750,8.202515
750,0,0,750,8.269409
750,0,0,750,8.313843
750,0,0,750,8.349976
750,0,0,750,8.399536
750,0,0,750,8.461548
750,0,0,750,8.502808
750,0,0,750,8.56897
750,0,0,750,8.613525
750,0,0,750,8.658081
750,0,0,750,8.702393
750,0,0,750,8.768921
750,0,0,750,8.813843
750,0,0,750,8.858276
750,0,0,750,8.902466
750,0,0,750,8.96936
750,0,0,750,9.013306
750,0,0,750,9.057861
750,0,0,750,9.102295
750,0,0,750,9.168701
750,0,0,750,9.213623
750,0,0,750,9.251465
750,0,0,750,9.304688
750,0,0,750,9.355347
750,0,0,750,9.414185
750,0,0,750,9.459839
750,0,0,750,9.502075
750,0,0,750,9.568726
750,0,0,750,9.613159
750,0,0,750,9.657715
750,0,0,750,9.702271
750,0,0,750,9.769043
750,0,0,750,9.81311
750,0,0,750,9.857544
750,0,0,750,9.9021
750,0,0,750,9.968384
750,0,0,750,10.01294
750,0,0,750,10.05737
750,0,0,750,10.10156
750,0,0,750,10.1582
750,0,0,750,10.2063
750,0,0,750,10.25903
750,0,0,750,10.31287
750,0,0,750,10.35706
750,0,0,750,10.40186
750,0,0,750,10.47046
750,0,0,750,10.51306
750,0,0,750,10.55872
750,0,0,750,10.60132
750,0,0,750,10.66797
750,0,0,750,10.71326
750,0,0,750,10.75684
750,0,0,750,10.80127
750,0,0,750,10.86792
750,0,0,750,10.91284
750,0,0,750,10.95679
750,0,0,750,11.00146
750,0,0,750,11.06042
750,0,0,750,11.10596
750,0,0,750,11.15747
750,0,0,750,11.20691
750,0,0,750,11.26807
750,0,0,750,11.31323
750,0,0,750,11.35681
750,0,0,750,11.40137
750,0,0,750,11.46802
750,0,0,750,11.51416
750,0,0,750,11.55652
750,0,0,750,11.60083
750,0,0,750,11.64978
750,0,0,750,11.71277
750,0,0,750,11.75659
750,0,0,750,11.80103
750,0,0,750,11.86755
750,0,0,750,11.9126
750,0,0,750,11.95679
750,0,0,750,12.00085
750,0,0,750,12.0675
750,0,0,750,12.11267
750,0,0,750,12.15637
750,0,0,750,12.20068
750,0,0,750,12.2677
750,0,0,750,12.31458
750,0,0,750,12.35608
750,0,0,750,12.40051
750,0,0,750,12.46277
750,0,0,750,12.50598
750,0,0,750,12.56726
750,0,0,750,12.61194
750,0,0,750,12.65735
750,0,0,750,12.7146
750,0,0,750,12.75476
750,0,0,750,12.80298
750,0,0,750,12.8595
750,0,0,750,12.90112
750,0,0,750,12.95679
750,0,0,750,13.00073
750,0,0,750,13.0675
750,0,0,750,13.11255
750,0,0,750,13.15588
750,0,0,750,13.2002
750,0,0,750,13.26685
750,0,0,750,13.31201
750,0,0,750,13.35571
750,0,0,750,13.40039
750,0,0,750,13.46729
750,0,0,750,13.51208
750,0,0,750,13.55566
750,0,0,750,13.60083
750,0,0,750,13.65845
750,0,0,750,13.70532
750,0,0,750,13.75806
750,0,0,750,13.80005
750,0,0,750,13.86682
750,0,0,750,13.91467
750,0,0,750,13.9563
750,0,0,750,14.00085
750,0,0,750,14.06677
750,0,0,750,14.11169
750,0,0,750,14.15527
750,0,0,750,14.19983
750,0,0,750,14.26794
750,0,0,750,14.31152
750,0,0,750,14.35876
750,0,0,750,14.40112
750,0,0,750,14.4668
750,0,0,750,14.51135
750,0,0,750,14.55505
750,0,0,750,14.6001
750,0,0,750,14.66943
750,0,0,750,14.70532
750,0,0,750,14.75916
750,0,0,750,14.80615
750,0,0,750,14.86157
750,0,0,750,14.90039
750,0,0,750,14.96655
750,0,0,750,15.01099
750,0,0,750,15.05505
750,0,0,750,15.12183
750,0,0,750,15.16589
750,0,0,750,15.21155
750,0,0,750,15.25525
750,0,0,750,15.32141
750,0,0,750,15.36597
750,0,0,750,15.41101
750,0,0,750,15.45471
750,0,0,750,15.52136
750,0,0,750,15.56592
750,0,0,750,15.61084
750,0,0,750,15.65857
750,0,0,750,15.7052
750,0,0,750,15.7561
750,0,0,750,15.79956
750,0,0,750,15.86584
750,0,0,750,15.9115
750,0,0,750,15.95618
750,0,0,750,16.02112
750,0,0,750,16.06592
750,0,0,750,16.11121
750,0,0,750,16.1543
750,0,0,750,16.22168
750,0,0,750,16.26538
750,0,0,750,16.31055
750,0,0,750,16.35413
750,0,0,750,16.42078
750,0,0,750,16.46558
750,0,0,750,16.51147
750,0,0,750,16.57458
750,0,0,750,16.60291
750,0,0,750,16.66577
750,0,0,750,16.70093
750,0,0,750,16.76526
750,0,0,750,16.81067
750,0,0,750,16.85425
750,0,0,750,16.92102
750,0,0,750,16.96533
750,0,0,750,17.01099
750,0,0,750,17.05579
750,0,0,750,17.12036
750,0,0,750,17.16528
750,0,0,750,17.21033
750,0,0,750,17.25415
750,0,0,750,17.32068
750,0,0,750,17.36511
750,0,0,750,17.41223
750,0,0,750,17.4574
750,0,0,750,17.50781
750,0,0,750,17.55518
750,0,0,750,17.61023
750,0,0,750,17.6543
750,0,0,750,17.72058
750,0,0,750,17.76526
750,0,0,750,17.81067
750,0,0,750,17.85522
750,0,0,750,17.92029
750,0,0,750,17.96497
750,0,0,750,18.00928
750,0,0,750,18.05359
750,0,0,750,18.12048
750,0,0,750,18.16467
750,0,0,750,18.20947
750,0,0,750,18.25354
750,0,0,750,18.31067
750,0,0,750,18.35803
750,0,0,750,18.41052
750,0,0,750,18.4635
750,0,0,750,18.51025
750,0,0,750,18.56079
750,0,0,750,18.60974
750,0,0,750,18.65796
750,0,0,750,18.70093
750,0,0,750,18.76477
750,0,0,750,18.80896
750,0,0,750,18.85315
750,0,0,750,18.9198
750,0,0,750,18.96423
750,0,0,750,19.00903
750,0,0,750,19.05396
750,0,0,750,19.12109
750,0,0,750,19.16577
750,0,0,750,19.20935
750,0,0,750,19.25476
750,0,0,750,19.3197
750,0,0,750,19.36426
750,0,0,750,19.41248
750,0,0,750,19.45276
750,0,0,750,19.50977
750,0,0,750,19.56079
750,0,0,750,19.6084
750,0,0,750,19.65918
750,0,0,750,19.70996
750,0,0,750,19.76428
750,0,0,750,19.80872
750,0,0,750,19.85278
750,0,0,750,19.91956
750,0,0,750,19.96399
750,0,0,750,20.00854
750,0,0,750,20.05481
750,0,0,750,20.11914
750,0,0,750,20.16382
750,0,0,750,20.20862
750,0,0,750,20.25256
750,0,0,750,20.31946
750,0,0,750,20.3634
750,0,0,750,20.40808
750,0,0,750,20.45264
750,0,0,750,20.50842
750,0,0,750,20.5603
750,0,0,750,20.60791
750,0,0,750,20.66345
750,0,0,750,20.70813
750,0,0,750,20.75256
750,0,0,750,20.82104
750,0,0,750,20.86328
750,0,0,750,20.90771
750,0,0,750,20.95251
750,0,0,750,21.0188
750,0,0,750,21.06348
750,0,0,750,21.10803
750,0,0,750,21.1521
750,0,0,750,21.21863
750,0,0,750,21.26367
750,0,0,750,21.33032
750,0,0,750,21.35242
750,0,0,750,21.40271
750,0,0,750,21.4613
750,0,0,750,21.50085
750,0,0,750,21.55408
750,0,0,750,21.60461
750,0,0,750,21.65198
750,0,0,750,21.71887
750,0,0,750,21.76453
750,0,0,750,21.80786
750,0,0,750,21.85181
750,0,0,750,21.9198
750,0,0,750,21.9635
750,0,0,750,22.00745
750,0,0,750,22.05164
750,0,0,750,22.11902
750,0,0,750,22.16284
750,0,0,750,22.20752
750,0,0,750,22.25146
750,0,0,750,22.31824
750,0,0,750,22.36499
750,0,0,750,22.41003
750,0,0,750,22.46375
750,0,0,750,22.50159
750,0,0,750,22.55225
750,0,0,750,22.60046
750,0,0,750,22.65222
750,0,0,750,22.70813
750,0,0,750,22.75977
750,0,0,750,22.80811
750,0,0,750,22.85132
750,0,0,750,22.91785
750,0,0,750,22.96326
750,0,0,750,23.00891
750,0,0,750,23.05151
750,0,0,750,23.11865
750,0,0,750,23.16431
750,0,0,750,23.20679
750,0,0,750,23.25244
750,0,0,750,23.31763
