Intersecting Volume,Volume Flux,Time Stamp
0,0,296.7019
0,0,296.7278
0,0,296.7509
0,0,296.7727
0,0,296.7931
0,0,296.8157
0,0,296.8395
0,0,296.8621
0,0,296.8818
0,0,296.9042
0,0,296.927
0,0,296.9489
0,0,296.9713
0,0,297.0016
0,0,297.0153
0,0,297.0377
0,0,297.0598
0,0,297.082
0,0,297.104
0,0,297.1265
0,0,297.1558
0,0,297.1719
0,0,297.193
0,0,297.2152
0,0,297.2374
0,0,297.2596
0,0,297.2823
0,0,297.3038
0,0,297.3263
0,0,297.3485
0,0,297.3706
0,0,297.3927
0,0,297.415
0,0,297.4376
0,0,297.4677
0,0,297.4807
0,0,297.495
0,0,297.5063
0,0,297.5159
0,0,297.5306
0,0,297.5453
0,0,297.5597
0,0,297.5718
0,0,297.5844
0,0,297.5962
0,0,297.6176
0,0,297.6299
0,0,297.6431
0,0,297.6527
0,0,297.6652
0,0,297.6749
0,0,297.6868
0,0,297.6989
0,0,297.7115
0,0,297.7324
0,0,297.7483
0,0,297.7787
0,0,297.7924
0,0,297.8149
0,0,297.837
0,0,297.8593
0,0,297.8816
0,0,297.9041
0,0,297.9344
0,0,297.9504
0,0,297.9705
0,0,297.9927
0,0,298.0148
0,0,298.0372
0,0,298.0598
0,0,298.0896
0,0,298.1074
0,0,298.126
0,0,298.1482
0,0,298.1703
0,0,298.1923
0,0,298.2148
0,0,298.2452
0,0,298.2592
0,0,298.2814
0,0,298.3035
0,0,298.3257
0,0,298.348
0,0,298.3705
0,0,298.3925
0,0,298.4146
0,0,298.4368
0,0,298.4591
0,0,298.4734
0,0,298.4877
0,0,298.5005
0,0,298.5157
0,0,298.5302
0,0,298.5511
0,0,298.5641
0,0,298.5739
0,0,298.5864
0,0,298.5978
0,0,298.61
0,0,298.6234
0,0,298.6483
0,0,298.6702
0,0,298.6925
0,0,298.717
0,0,298.7385
0,0,298.7588
0,0,298.7813
0,0,298.8033
0,0,298.8257
0,0,298.8486
0,0,298.8699
0,0,298.8923
0,0,298.9144
0,0,298.9371
0,0,298.959
0,0,298.981
0,0,299.0035
0,0,299.0254
0,0,299.0477
0,0,299.0698
0,0,299.0925
0,0,299.1144
0,0,299.1366
0,0,299.1589
0,0,299.181
0,0,299.203
0,0,299.2253
0,0,299.2477
0,0,299.2697
0,0,299.2917
0,0,299.3143
0,0,299.3363
0,0,299.3584
0,0,299.3807
0,0,299.3939
0,0,299.4066
0,0,299.417
0,0,299.4315
0,0,299.4457
0,0,299.4594
0,0,299.4718
0,0,299.4849
0,0,299.4967
0,0,299.5107
0,0,299.5227
0,0,299.5369
0,0,299.5509
0,0,299.5635
0,0,299.5808
0,0,299.603
0,0,299.6255
0,0,299.6498
0,0,299.6711
0,0,299.6917
0,0,299.7144
0,0,299.7365
0,0,299.7583
0,0,299.7819
0,0,299.803
0,0,299.825
0,0,299.8478
0,0,299.8696
0,0,299.8915
0,0,299.9143
0,0,299.9366
0,0,299.9583
0,0,299.9808
0,0,300.0024
0,0,0.02368164
0,0,0.04553223
0,0,0.06689453
0,0,0.08728027
0,0,0.1098633
0,0,0.1318359
0,0,0.1549072
0,0,0.1765137
0,0,0.2020264
0,0,0.2225342
0,0,0.2429199
0,0,0.2650146
0,0,0.2872314
0,0,0.3100586
0,0,0.3317871
0,0,0.3536377
0,0,0.3763428
0,0,0.3985596
0,0,0.4207764
0,0,0.442749
0,0,0.465332
0,0,0.4873047
0,0,0.5090332
0,0,0.5313721
0,0,0.5537109
0,0,0.5760498
0,0,0.5986328
0,0,0.6207275
0,0,0.6428223
0,0,0.6655273
0,0,0.6871338
