Object,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W,LinVelocity X,LinVelocity Y,LinVelocity Z,AngVelocity X,AngVelocity Y,AngVelocity Z,Impact Force X,Impact Force Y,Impact Force Z,Impact Force Magnitude,Colliding Body,Time Stamp
Scoop,-0.928484,1.657688,1.331893,0.5907991,-0.2328551,0.01315236,-0.7723745,-0.4299846,0.5014697,-1.309328,0.08490981,0.03129306,-0.06712193,0,0,0,0,,298.7671
Scoop,-0.9362102,1.666971,1.306804,0.5913235,-0.231963,0.01389855,-0.7722287,-0.3592809,0.448107,-1.242296,-0.06765614,-0.1090557,0.00704731,0,0,0,0,,298.7832
Scoop,-0.9362102,1.666971,1.306804,0.5913235,-0.231963,0.01389855,-0.7722287,-0.3592809,0.448107,-1.242296,-0.06765614,-0.1090557,0.00704731,0,0,0,0,,298.7953
Scoop,-0.9438572,1.676294,1.280701,0.5934067,-0.2317803,0.01565614,-0.7706501,-0.41841,0.429797,-1.133292,-0.2951851,-0.07872538,-0.07881539,0,0,0,0,,298.8055
Scoop,-0.9514403,1.685312,1.25503,0.5941808,-0.2321654,0.01566327,-0.7699372,-0.3927864,0.4322009,-1.20257,-0.1016138,0.04684243,-0.006620422,0,0,0,0,,298.8179
Scoop,-0.9514403,1.685312,1.25503,0.5941808,-0.2321654,0.01566327,-0.7699372,-0.3927864,0.4322009,-1.20257,-0.1016138,0.04684243,-0.006620422,0,0,0,0,,298.8325
Scoop,-0.9591606,1.694333,1.228256,0.5965524,-0.2308217,0.01819354,-0.7684503,-0.3844168,0.4039682,-1.18333,-0.3318064,-0.2157145,-0.06226597,0,0,0,0,,298.8464
Scoop,-0.9666378,1.70287,1.201776,0.5972478,-0.2312091,0.01820531,-0.767793,-0.3885556,0.4112488,-1.249562,-0.09233496,0.04535298,-0.00918128,0,0,0,0,,298.8585
Scoop,-0.9666378,1.70287,1.201776,0.5972478,-0.2312091,0.01820531,-0.767793,-0.3885556,0.4112488,-1.249562,-0.09233496,0.04535298,-0.00918128,0,0,0,0,,298.8708
Scoop,-0.9740212,1.711046,1.175118,0.5982202,-0.2305927,0.01980266,-0.7671817,-0.3872278,0.3991536,-1.272141,-0.1493443,-0.1269659,-0.0644575,0,0,0,0,,298.8826
Scoop,-0.9810266,1.718656,1.148134,0.5991654,-0.2310528,0.02047759,-0.7662874,-0.3929203,0.3712523,-1.250855,-0.140729,0.01724242,-0.05925629,0,0,0,0,,298.9019
Scoop,-0.9879086,1.725707,1.120937,0.6004273,-0.2289363,0.02290973,-0.7658663,-0.3082575,0.3269473,-1.327474,-0.1825568,-0.2956854,-0.03127028,0,0,0,0,,298.9238
Scoop,-0.9943511,1.732102,1.093453,0.6020191,-0.2281959,0.02415967,-0.7647984,-0.3139282,0.2838634,-1.261751,-0.2163863,-0.1038434,-0.0172615,0,0,0,0,,298.946
Scoop,-1.000207,1.737578,1.0663,0.6024532,-0.2280314,0.02562889,-0.7644578,-0.3375399,0.285143,-1.327284,-0.08774722,-0.09234828,-0.09330139,0,0,0,0,,298.9683
