Particles in Bath,Particles in Bin 1,Particles in Bin 2,Total particles,Time Stamp
750,0,0,750,0.04370117
750,0,0,750,0.08740234
750,0,0,750,0.135376
750,0,0,750,0.1901855
750,0,0,750,0.2438965
750,0,0,750,0.2832031
750,0,0,750,0.3337402
750,0,0,750,0.4002686
750,0,0,750,0.4434814
750,0,0,750,0.487915
750,0,0,750,0.5336914
750,0,0,750,0.5996094
750,0,0,750,0.6433105
750,0,0,750,0.6877441
750,0,0,750,0.7330322
750,0,0,750,0.7999268
750,0,0,750,0.8431396
750,0,0,750,0.8875732
750,0,0,750,0.9331055
750,0,0,750,0.9997559
750,0,0,750,1.043091
750,0,0,750,1.087769
750,0,0,750,1.136963
750,0,0,750,1.189575
750,0,0,750,1.243652
750,0,0,750,1.287476
750,0,0,750,1.332764
750,0,0,750,1.39978
750,0,0,750,1.442749
750,0,0,750,1.487549
750,0,0,750,1.532471
750,0,0,750,1.599243
750,0,0,750,1.642822
750,0,0,750,1.687256
750,0,0,750,1.732422
750,0,0,750,1.799438
750,0,0,750,1.842651
750,0,0,750,1.887207
750,0,0,750,1.932617
750,0,0,750,1.983276
750,0,0,750,2.036621
750,0,0,750,2.087158
750,0,0,750,2.132446
750,0,0,750,2.198853
750,0,0,750,2.242676
750,0,0,750,2.287109
750,0,0,750,2.332031
750,0,0,750,2.398438
750,0,0,750,2.442505
750,0,0,750,2.486938
750,0,0,750,2.531494
750,0,0,750,2.598267
750,0,0,750,2.642334
750,0,0,750,2.68689
750,0,0,750,2.731934
750,0,0,750,2.797852
750,0,0,750,2.83252
750,0,0,750,2.883545
750,0,0,750,2.934204
750,0,0,750,2.990112
750,0,0,750,3.036743
750,0,0,750,3.097656
750,0,0,750,3.142334
750,0,0,750,3.186646
750,0,0,750,3.231201
750,0,0,750,3.29834
750,0,0,750,3.342163
750,0,0,750,3.386719
750,0,0,750,3.431152
750,0,0,750,3.497803
750,0,0,750,3.542358
750,0,0,750,3.604248
750,0,0,750,3.630859
750,0,0,750,3.697754
750,0,0,750,3.741943
750,0,0,750,3.786255
750,0,0,750,3.831177
750,0,0,750,3.897339
750,0,0,750,3.941772
750,0,0,750,3.986084
750,0,0,750,4.03064
750,0,0,750,4.097168
750,0,0,750,4.141846
750,0,0,750,4.186157
750,0,0,750,4.230835
750,0,0,750,4.297363
750,0,0,750,4.341553
750,0,0,750,4.390015
750,0,0,750,4.431641
750,0,0,750,4.49707
750,0,0,750,4.541748
750,0,0,750,4.586548
750,0,0,750,4.630493
750,0,0,750,4.697754
750,0,0,750,4.741455
750,0,0,750,4.785767
750,0,0,750,4.8302
750,0,0,750,4.896973
750,0,0,750,4.941528
750,0,0,750,4.985962
750,0,0,750,5.030396
750,0,0,750,5.096802
750,0,0,750,5.141357
750,0,0,750,5.185669
750,0,0,750,5.232666
750,0,0,750,5.286011
750,0,0,750,5.331909
750,0,0,750,5.381714
750,0,0,750,5.431763
750,0,0,750,5.486206
750,0,0,750,5.531616
750,0,0,750,5.596558
750,0,0,750,5.641479
750,0,0,750,5.686157
750,0,0,750,5.729736
750,0,0,750,5.796753
750,0,0,750,5.84082
750,0,0,750,5.885498
750,0,0,750,5.929932
750,0,0,750,5.996338
750,0,0,750,6.040649
750,0,0,750,6.085205
750,0,0,750,6.130127
750,0,0,750,6.186279
750,0,0,750,6.234985
750,0,0,750,6.286743
750,0,0,750,6.330078
750,0,0,750,6.396362
750,0,0,750,6.440918
750,0,0,750,6.485474
750,0,0,750,6.529419
750,0,0,750,6.596191
750,0,0,750,6.640625
750,0,0,750,6.685791
750,0,0,750,6.729492
750,0,0,750,6.796387
750,0,0,750,6.841309
750,0,0,750,6.885498
750,0,0,750,6.932861
750,0,0,750,6.99585
750,0,0,750,7.040771
750,0,0,750,7.088379
750,0,0,750,7.135132
750,0,0,750,7.186523
750,0,0,750,7.233032
750,0,0,750,7.295776
750,0,0,750,7.34021
750,0,0,750,7.392944
750,0,0,750,7.429077
750,0,0,750,7.49585
750,0,0,750,7.540649
750,0,0,750,7.585449
750,0,0,750,7.629028
750,0,0,750,7.69812
750,0,0,750,7.740356
750,0,0,750,7.785156
750,0,0,750,7.831421
750,0,0,750,7.895386
750,0,0,750,7.940186
750,0,0,750,7.985352
750,0,0,750,8.028809
750,0,0,750,8.097412
750,0,0,750,8.135742
750,0,0,750,8.191406
750,0,0,750,8.240112
750,0,0,750,8.285034
750,0,0,750,8.330688
750,0,0,750,8.395386
750,0,0,750,8.440186
750,0,0,750,8.486694
750,0,0,750,8.568359
750,0,0,750,8.584717
750,0,0,750,8.641968
750,0,0,750,8.684814
750,0,0,750,8.751465
750,0,0,750,8.795044
750,0,0,750,8.839478
750,0,0,750,8.88501
750,0,0,750,8.928589
750,0,0,750,8.994995
750,0,0,750,9.039429
750,0,0,750,9.085327
750,0,0,750,9.151611
750,0,0,750,9.194824
750,0,0,750,9.239624
750,0,0,750,9.28418
750,0,0,750,9.341187
750,0,0,750,9.389404
750,0,0,750,9.430054
750,0,0,750,9.494873
750,0,0,750,9.539063
750,0,0,750,9.584351
750,0,0,750,9.650757
750,0,0,750,9.69458
750,0,0,750,9.739258
750,0,0,750,9.784302
750,0,0,750,9.850952
750,0,0,750,9.894531
750,0,0,750,9.938965
750,0,0,750,9.984131
750,0,0,750,10.0509
750,0,0,750,10.09448
750,0,0,750,10.13904
750,0,0,750,10.18445
750,0,0,750,10.23413
750,0,0,750,10.28552
750,0,0,750,10.33936
750,0,0,750,10.38379
750,0,0,750,10.45105
750,0,0,750,10.49451
750,0,0,750,10.53882
750,0,0,750,10.58362
750,0,0,750,10.65125
750,0,0,750,10.69421
750,0,0,750,10.73877
750,0,0,750,10.78394
750,0,0,750,10.85059
750,0,0,750,10.89624
750,0,0,750,10.93994
750,0,0,750,10.98572
750,0,0,750,11.03955
750,0,0,750,11.0835
750,0,0,750,11.13269
750,0,0,750,11.18518
750,0,0,750,11.23157
750,0,0,750,11.29407
750,0,0,750,11.33276
750,0,0,750,11.38525
750,0,0,750,11.44202
750,0,0,750,11.48975
750,0,0,750,11.52942
750,0,0,750,11.58435
750,0,0,750,11.62939
750,0,0,750,11.69067
750,0,0,750,11.75024
750,0,0,750,11.79529
750,0,0,750,11.8385
750,0,0,750,11.88403
750,0,0,750,11.92871
750,0,0,750,11.99353
750,0,0,750,12.03796
750,0,0,750,12.09106
750,0,0,750,12.14978
750,0,0,750,12.19336
750,0,0,750,12.245
750,0,0,750,12.28357
750,0,0,750,12.34985
750,0,0,750,12.40491
750,0,0,750,12.43774
750,0,0,750,12.48315
750,0,0,750,12.55164
750,0,0,750,12.5946
750,0,0,750,12.63782
750,0,0,750,12.68347
750,0,0,750,12.75012
750,0,0,750,12.79309
750,0,0,750,12.83789
750,0,0,750,12.88269
750,0,0,750,12.94946
750,0,0,750,12.99353
750,0,0,750,13.0376
750,0,0,750,13.08325
750,0,0,750,13.14966
750,0,0,750,13.19299
750,0,0,750,13.23743
