Object,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W,LinVelocity X,LinVelocity Y,LinVelocity Z,AngVelocity X,AngVelocity Y,AngVelocity Z,Impact Force X,Impact Force Y,Impact Force Z,Impact Force Magnitude,Colliding Body,Time Stamp
Scoop,1.306012,1.327403,1.964942,0.5221895,0.04666838,-0.04546939,-0.8503371,-0.01884439,0.007108215,-0.05432646,0.01835792,0.08245295,0.02891583,0,0,0,0,,299.6255
Scoop,1.305596,1.32709,1.961955,0.5216398,0.04656613,-0.04539192,-0.850684,-0.01496034,0.01414129,-0.1266051,0.06548172,-0.003121714,-0.006923722,0,0,0,0,,299.6498
Scoop,1.305488,1.326826,1.959583,0.521962,0.04617989,-0.04662359,-0.8504409,0.01049036,-0.02429599,-0.09697217,-0.04746056,0.09452109,0.08420116,0,0,0,0,,299.6711
Scoop,1.30566,1.326545,1.95673,0.5230097,0.0459609,-0.04709254,-0.8497829,0.01160548,-0.06183554,-0.06537741,-0.1265157,0.03518777,0.0266777,0,0,0,0,,299.6917
Scoop,1.306548,1.326596,1.952763,0.5287398,0.0399113,-0.05167107,-0.8462697,-0.1934112,-0.273443,0.1961551,-0.7198913,0.7103034,0.06295592,0,0,0,0,,299.7144
Scoop,1.307291,1.325942,1.948989,0.5310279,0.04089484,-0.05146793,-0.8448011,0.09893616,-0.1344082,-0.01147552,-0.2654789,-0.1116575,0.03329842,0,0,0,0,,299.7365
Scoop,1.308886,1.324619,1.945308,0.5312002,0.04198441,-0.05175495,-0.8446217,0.1627215,-0.06646074,-0.1645974,-0.01972786,-0.07839683,0.08231203,0,0,0,0,,299.7583
Scoop,1.311661,1.322873,1.941588,0.5311186,0.04273805,-0.05138333,-0.8446577,0.17584,-0.0809288,-0.1878883,0.01417301,-0.08282381,0.008845024,0,0,0,0,,299.7819
Scoop,1.315501,1.320653,1.937777,0.5306044,0.04239988,-0.05129524,-0.8450032,0.1647944,-0.08991985,-0.2323276,0.06033005,0.02795654,-0.02489819,0,0,0,0,,299.803
Scoop,1.32051,1.318366,1.932707,0.5348351,0.03719211,-0.0548982,-0.8423505,0.03735451,-0.3178016,0.0401796,-0.5401388,0.5981539,0.02393406,0,0,0,0,,299.825
Scoop,1.326094,1.315443,1.926896,0.5403728,0.03493115,-0.05739777,-0.8387387,0.2300677,-0.3942305,0.1244038,-0.6813154,0.2802303,0.08894578,0,0,0,0,,299.8478
Scoop,1.338941,1.306994,1.916556,0.5402661,0.03732738,-0.05645035,-0.8387687,0.3691034,-0.1921284,-0.3053233,0.08768483,-0.08356606,0.0002707206,0,0,0,0,,299.8696
Scoop,1.346192,1.302368,1.911111,0.5408268,0.03752083,-0.05661318,-0.8383876,0.3826002,-0.2538483,-0.2280283,-0.06722067,-0.01198106,0.02417572,0,0,0,0,,299.8915
Scoop,1.353921,1.297498,1.905592,0.5401669,0.03754765,-0.05733645,-0.8387626,0.4114246,-0.2108645,-0.3275748,0.07289716,0.04200556,0.0624478,0,0,0,0,,299.9143
Scoop,1.362424,1.292704,1.899428,0.5399735,0.03749886,-0.05889419,-0.8387816,0.4755641,-0.2239744,-0.3236585,0.0110739,0.08942197,0.128655,0,0,0,0,,299.9366
Scoop,1.371801,1.288074,1.892589,0.5401344,0.03731641,-0.05878493,-0.8386936,0.4532945,-0.240373,-0.3302233,-0.01888607,0.008139655,-0.01904295,0,0,0,0,,299.9583
Scoop,1.381562,1.283573,1.885398,0.5404092,0.03673932,-0.05979161,-0.8384709,0.4856368,-0.2360208,-0.3411113,-0.0421624,0.100349,0.05356131,0,0,0,0,,299.9808
Scoop,1.391652,1.278966,1.877925,0.5397895,0.03625181,-0.05994052,-0.8388803,0.4754491,-0.2055902,-0.424224,0.07060894,0.05417029,-0.01400241,0,0,0,0,,300.0024
Scoop,-1.282086,2.067022,0.6730108,-5.108106E-05,-0.7073067,0.00102175,-0.7069063,0.0008337239,0.05799716,0.01725489,-0.06862986,0.0282908,-0.07583058,0,0,0,0,,0.02368164
Scoop,-1.282294,2.067369,0.6731917,-0.0001876913,-0.7071461,0.001060847,-0.7070668,-0.009484948,0.02659737,-0.007517144,0.006877758,-0.02268538,-0.01243705,0,0,0,0,,0.04553223
Scoop,-1.28282,2.0678,0.6735325,0.0003739001,-0.7073556,0.001664688,-0.7068563,-0.0257507,0.02371572,0.0337991,-0.08237388,0.02975761,-0.003026651,0,0,0,0,,0.06689453
Scoop,-1.283598,2.068385,0.6741677,0.001568325,-0.7075861,0.001926069,-0.7066232,-0.04298936,-0.0202117,0.04956964,-0.1028727,0.03294714,0.06592064,0,0,0,0,,0.08728027
Scoop,-1.28426,2.069084,0.675981,0.000459876,-0.7052466,0.0004705379,-0.7089624,-0.03452042,0.01621715,-0.1456785,0.1812052,-0.3304876,0.02522497,0,0,0,0,,0.1098633
Scoop,-1.284605,2.06963,0.6781768,-0.001503893,-0.7049324,0.002082322,-0.7092703,-0.001458878,0.2166216,0.07808544,0.0255539,-0.04410061,-0.2526369,0,0,0,0,,0.1318359
Scoop,-1.284771,2.07009,0.6809487,-0.003725358,-0.7051787,0.005320055,-0.7090002,0.01837095,0.3124102,0.1605518,-0.07056981,0.03657439,-0.3861511,0,0,0,0,,0.1549072
Scoop,-1.284945,2.069834,0.6844028,-0.006031116,-0.705222,0.009901716,-0.7088923,0.02843655,0.3520253,0.1685522,-0.1595308,0.01121368,-0.4873526,0,0,0,0,,0.1765137
Scoop,-1.28503,2.067905,0.6926567,-0.005557981,-0.7065879,0.0141339,-0.7074628,-0.005271597,-0.1036698,0.2888604,-0.04314391,0.1039163,0.0695188,0,0,0,0,,0.2020264
Scoop,-1.284907,2.065489,0.6979217,-0.004602616,-0.706125,0.01839615,-0.7078336,0.02656673,0.05313257,0.1895778,-0.3695738,-0.0550264,-0.233625,0,0,0,0,,0.2225342
Scoop,-1.284477,2.062203,0.703734,-0.002639944,-0.7064748,0.02370139,-0.7073364,0.04224325,0.01217338,0.2935639,-0.5126114,0.06599745,-0.2376018,0,0,0,0,,0.2429199
Scoop,-1.283755,2.058205,0.7099834,-0.0004125042,-0.7074326,0.02861386,-0.7062016,0.05327858,-0.05722775,0.3811525,-0.501994,0.1544931,-0.1925083,0,0,0,0,,0.2650146
Scoop,-1.282718,2.053581,0.7166341,0.001030371,-0.7087449,0.03210299,-0.7047338,0.06560358,-0.1208872,0.4495876,-0.3448868,0.200732,-0.148476,0,0,0,0,,0.2872314
Scoop,-1.281284,2.0488,0.7236393,0.003517631,-0.7099834,0.03412376,-0.7033827,0.06860105,-0.2609825,0.4623278,-0.3146502,0.1908147,0.02931435,0,0,0,0,,0.3100586
