Transform Name,Closest collider,Distance X,Distance Y,Distance Z,Magnitude,Time Stamp
Box002,Top Steel shiny,-0.369473,-3.755093E-06,2.226695,2.25714,296.7019
Box002,Top Steel shiny,-0.3716429,-3.755093E-06,2.229859,2.260617,296.7278
Box002,Top Steel shiny,-0.373874,-3.814697E-06,2.232866,2.26395,296.7509
Box002,Top Steel shiny,-0.3744279,-4.053116E-06,2.23834,2.269441,296.7727
Box002,Top Steel shiny,-0.3755706,-4.023314E-06,2.241849,2.273091,296.7931
Box002,Top Steel shiny,-0.3762922,-4.023314E-06,2.246413,2.277711,296.8157
Box002,Top Steel shiny,-0.3771453,-3.933907E-06,2.251424,2.282794,296.8395
Box002,Top Steel shiny,-0.3748284,-3.665686E-06,2.260681,2.291544,296.8621
Box002,Top Steel shiny,-0.3761992,-3.874302E-06,2.264286,2.295325,296.8818
Box002,Top Steel shiny,-0.3773418,-3.635883E-06,2.266486,2.297683,296.9042
Box002,Top Steel shiny,-0.3764892,-3.933907E-06,2.272613,2.303587,296.927
Box002,Top Steel shiny,-0.3766478,-3.8445E-06,2.280753,2.311644,296.9489
Box002,Top Steel shiny,-0.3744856,-3.933907E-06,2.282856,2.313368,296.9713
Box002,Top Steel shiny,-0.3730651,-4.053116E-06,2.286541,2.316776,297.0016
Box002,Top Steel shiny,-0.3721054,-3.874302E-06,2.289011,2.319059,297.0153
Box002,Top Steel shiny,-0.3705505,-3.755093E-06,2.292029,2.32179,297.0377
Box002,Top Steel shiny,-0.3698145,-3.814697E-06,2.295661,2.325258,297.0598
Box002,Top Steel shiny,-0.3696342,-3.755093E-06,2.298197,2.327732,297.082
Box002,Top Steel shiny,-0.3686145,-3.874302E-06,2.299486,2.328844,297.104
Box002,Top Steel shiny,-0.3675225,-3.933907E-06,2.301223,2.330387,297.1265
Box002,Top Steel shiny,-0.3666406,-3.8445E-06,2.3033,2.332298,297.1558
Box002,Top Steel shiny,-0.3668646,-3.635883E-06,2.303761,2.332789,297.1719
