Particles in Bath,Particles in Bin 1,Particles in Bin 2,Total particles,Time Stamp
387,131,175,750,295.0632
387,131,175,750,295.1194
387,131,175,750,295.1687
387,131,175,750,295.217
387,131,175,750,295.2683
387,131,175,750,295.3181
387,131,175,750,295.3655
387,131,175,750,295.4119
387,131,175,750,295.4636
387,131,175,750,295.5222
387,131,175,750,295.5627
387,131,175,750,295.6189
387,131,175,750,295.6653
387,131,175,750,295.7112
387,131,175,750,295.7644
387,131,176,750,295.8191
387,131,176,750,295.8684
387,131,176,750,295.9172
387,131,176,750,295.9788
387,131,176,750,296.0173
387,131,176,750,296.0627
387,131,176,750,296.1169
387,131,176,750,296.1633
387,131,176,750,296.2278
387,131,176,750,296.2722
387,131,176,750,296.3171
387,131,176,750,296.3611
387,131,176,750,296.428
387,131,176,750,296.4719
387,131,176,750,296.5164
387,131,176,750,296.5608
387,131,176,750,296.6135
387,131,176,750,296.6716
387,131,176,750,296.7166
387,131,176,750,296.7678
387,131,176,750,296.8274
387,131,176,750,296.8718
387,131,176,750,296.9143
387,131,176,750,296.9631
387,131,176,750,297.0188
387,131,176,750,297.0637
387,131,176,750,297.1169
387,131,176,750,297.1672
387,131,176,750,297.2244
387,131,176,750,297.2639
387,131,176,750,297.323
387,131,176,750,297.3601
387,131,176,750,297.4158
387,131,176,750,297.4651
387,131,176,750,297.5125
387,131,176,750,297.5691
387,131,176,750,297.6174
387,131,177,750,297.6677
387,131,177,750,297.7126
387,131,177,750,297.7629
387,131,177,750,297.8196
387,131,177,750,297.8665
387,131,177,750,297.9163
387,131,177,750,297.9666
387,131,177,750,298.0134
387,131,177,750,298.0637
387,131,176,750,298.1189
387,131,176,750,298.1658
387,131,176,750,298.2151
387,131,176,750,298.2703
387,131,176,750,298.3123
387,131,176,750,298.3635
387,131,176,750,298.4114
387,131,176,750,298.4631
387,131,176,750,298.511
387,131,176,750,298.5603
387,131,176,750,298.6189
387,131,176,750,298.6599
387,131,176,750,298.718
387,131,176,750,298.7683
387,131,176,750,298.8176
387,131,176,750,298.8679
387,131,176,750,298.9177
387,131,176,750,298.968
387,131,176,750,299.0164
387,131,176,750,299.0637
387,131,176,750,299.1121
387,131,176,750,299.1638
387,131,176,750,299.2117
387,131,176,750,299.2625
387,131,176,750,299.3191
387,131,176,750,299.3601
387,131,176,750,299.4177
387,131,176,750,299.4719
387,131,176,750,299.5173
387,131,176,750,299.5657
387,131,176,750,299.6169
387,131,176,750,299.6687
387,131,176,750,299.7161
384,131,176,750,299.7644
382,131,176,750,299.8118
377,131,176,750,299.8811
375,131,176,750,299.9167
375,131,176,750,299.9641
750,0,0,750,0.03759766
750,0,0,750,0.08935547
750,0,0,750,0.1396484
750,0,0,750,0.1894531
750,0,0,750,0.2456055
750,0,0,750,0.2866211
750,0,0,750,0.3344727
750,0,0,750,0.390625
750,0,0,750,0.434082
750,0,0,750,0.4907227
750,0,0,750,0.5351563
750,0,0,750,0.5913086
750,0,0,750,0.6347656
750,0,0,750,0.690918
750,0,0,750,0.7348633
750,0,0,750,0.7910156
750,0,0,750,0.8354492
750,0,0,750,0.8818359
750,0,0,750,0.9453125
750,0,0,750,0.9941406
750,0,0,750,1.033203
750,0,0,750,1.089355
750,0,0,750,1.134277
750,0,0,750,1.195313
750,0,0,750,1.23291
750,0,0,750,1.290527
750,0,0,750,1.335449
750,0,0,750,1.391602
750,0,0,750,1.438477
750,0,0,750,1.489258
750,0,0,750,1.53418
750,0,0,750,1.60498
750,0,0,750,1.632813
750,0,0,750,1.689453
750,0,0,750,1.73291
750,0,0,750,1.790039
750,0,0,750,1.834961
750,0,0,750,1.891602
750,0,0,750,1.936035
750,0,0,750,1.985352
750,0,0,750,2.033203
750,0,0,750,2.09082
750,0,0,750,2.139648
750,0,0,750,2.189453
750,0,0,750,2.234863
750,0,0,750,2.293945
750,0,0,750,2.344727
750,0,0,750,2.391113
750,0,0,750,2.435059
750,0,0,750,2.490723
750,0,0,750,2.53418
750,0,0,750,2.60498
750,0,0,750,2.634277
750,0,0,750,2.691895
750,0,0,750,2.731934
750,0,0,750,2.790039
750,0,0,750,2.834473
750,0,0,750,2.890137
750,0,0,750,2.935059
750,0,0,750,2.990723
750,0,0,750,3.03418
750,0,0,750,3.090332
750,0,0,750,3.134277
750,0,0,750,3.190918
750,0,0,750,3.236816
750,0,0,750,3.291504
750,0,0,750,3.334473
750,0,0,750,3.391113
750,0,0,750,3.436035
750,0,0,750,3.483887
750,0,0,750,3.532715
750,0,0,750,3.590332
750,0,0,750,3.637207
750,0,0,750,3.687012
750,0,0,750,3.733887
750,0,0,750,3.782227
750,0,0,750,3.834473
750,0,0,750,3.884277
750,0,0,750,3.932129
750,0,0,750,3.987793
750,0,0,750,4.032227
750,0,0,750,4.087891
750,0,0,750,4.132324
750,0,0,750,4.189941
750,0,0,750,4.233887
750,0,0,750,4.291016
750,0,0,750,4.349121
750,0,0,750,4.388672
750,0,0,750,4.433105
750,0,0,750,4.490723
750,0,0,750,4.534668
750,0,0,750,4.591797
750,0,0,750,4.642578
750,0,0,750,4.689453
750,0,0,750,4.734375
750,0,0,750,4.791016
750,0,0,750,4.842285
750,0,0,750,4.888184
750,0,0,750,4.9375
750,0,0,750,4.989258
750,0,0,750,5.036133
750,0,0,750,5.087402
750,0,0,750,5.132813
750,0,0,750,5.188965
750,0,0,750,5.23291
750,0,0,750,5.290527
750,0,0,750,5.341309
750,0,0,750,5.401367
750,0,0,750,5.437012
750,0,0,750,5.486816
750,0,0,750,5.541992
750,0,0,750,5.618652
750,0,0,750,5.632324
750,0,0,750,5.687988
750,0,0,750,5.73291
750,0,0,750,5.788574
750,0,0,750,5.833008
750,0,0,750,5.889648
