Intersecting Volume,Volume Flux,Time Stamp
0,0,298.5515
0,0,298.5669
0,0,298.5776
0,0,298.5908
0,0,298.6047
0,0,298.6265
0.002431118,0.08197203,298.6563
0.01053485,0.4986511,298.6724
0.01620745,0.2776227,298.6929
0.01215559,-0.1816368,298.7151
0.02269044,0.4661622,298.7378
0.03727715,0.6710111,298.7595
0.03808752,0.0360086,298.782
0.04700162,0.2965129,298.812
0.04700162,0,298.8267
0.04700162,0,298.8484
0.06482982,0.7901135,298.8711
0.06077796,-0.1826042,298.8933
0.04700162,-0.6301356,298.915
0.04619125,-0.03490115,298.9382
0.04213938,-0.1370345,298.968
0.04862237,0.4769283,298.9814
0.07455429,1.13104,299.0044
0.03889789,-1.624696,299.0264
0.02755267,-0.5177345,299.0483
0.02431118,-0.1428888,299.071
0.0267423,0.110608,299.093
0.02512156,-0.05518821,299.1223
0.03403566,0.586265,299.1375
0.02755267,-0.2970793,299.1594
0.02755267,0,299.1816
0.0267423,-0.03587462,299.2043
0.02350081,-0.1491089,299.2261
0.0267423,0.1423124,299.2488
0,-0.9139699,299.2781
0,0,299.2927
0,0,299.3149
0,0,299.3374
0,0,299.3591
0,0,299.3735
0,0,299.3862
0,0,299.3958
0,0,299.4082
0,0,299.4272
0,0,299.4404
0,0,299.4536
0,0,299.4668
0,0,299.4768
0,0,299.4895
0,0,299.4995
0,0,299.5193
0,0,299.5322
0,0,299.5449
0,0,299.5598
0,0,299.574
0,0,299.5867
0,0,299.5959
0,0,299.6079
0,0,299.6189
0,0,299.6323
0,0,299.6575
0,0,299.6704
0,0,299.6812
0,0,299.6934
0,0,299.7061
0,0,299.7168
0,0,299.7285
0,0,299.7388
0,0,299.7527
0,0,299.7661
0,0,299.7759
0,0,299.7886
0,0,299.7988
0,0,299.8118
0,0,299.8264
0,0,299.8372
0,0,299.8489
0,0,299.8591
0,0,299.8738
0,0,299.8857
0,0,299.895
0,0,299.9077
0,0,299.9192
0,0,299.9321
0,0,299.9453
0,0,299.9597
0,0,299.9736
0,0,299.9863
0,0,299.9961
0,0,0.0234375
0,0,0.04418945
0,0,0.05761719
0,0,0.07275391
