Object,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Rotation W,LinVelocity X,LinVelocity Y,LinVelocity Z,AngVelocity X,AngVelocity Y,AngVelocity Z,Impact Force X,Impact Force Y,Impact Force Z,Impact Force Magnitude,Colliding Body,Time Stamp
Scoop,-1.602472,1.047606,2.033193,0.6475492,-0.02429897,-0.04817471,-0.7601113,-0.07990062,0.08000332,0.3514479,0.5171847,0.2632608,-0.1397805,1.202049,-0.2768497,0.1751542,1.245892,,298.2703
Scoop,-1.602472,1.047606,2.033193,0.6475492,-0.02429897,-0.04817471,-0.7601113,-0.07990062,0.08000332,0.3514479,0.5171847,0.2632608,-0.1397805,1.202049,-0.2768497,0.1751542,1.245892,,298.2839
Scoop,-1.601401,1.047896,2.046438,0.6434053,-0.02753016,-0.05001545,-0.7633944,-0.08591545,0.1083609,0.2811649,0.5165518,0.3767978,-0.09522376,1.257212,-0.3147951,0.07041968,1.297935,,298.3
Scoop,-1.600836,1.048852,2.057371,0.6420365,-0.02991489,-0.05191612,-0.7643296,-0.04228356,0.07617669,0.4284289,0.1581953,0.3086385,-0.01684923,1.147042,-0.1195071,-0.455723,1.240028,,298.3123
Scoop,-1.600836,1.048852,2.057371,0.6420365,-0.02991489,-0.05191612,-0.7643296,-0.04228356,0.07617669,0.4284289,0.1581953,0.3086385,-0.01684923,1.147042,-0.1195071,-0.455723,1.240028,,298.3264
Scoop,-1.600535,1.050196,2.067375,0.6400012,-0.03211355,-0.0536423,-0.7658263,-0.05721339,0.1148027,0.3195272,0.2454572,0.2849565,-0.02309098,1.368565,-0.3859356,0.3709608,1.469533,,298.3376
Scoop,-1.60066,1.051795,2.076028,0.6384045,-0.03304246,-0.05317318,-0.7671511,-0.09260283,0.1188552,0.2863295,0.2008892,0.05309041,-0.1064939,1.682341,-0.4285758,0.004229636,1.736078,,298.3518
Scoop,-1.60066,1.051795,2.076028,0.6384045,-0.03304246,-0.05317318,-0.7671511,-0.09260283,0.1188552,0.2863295,0.2008892,0.05309041,-0.1064939,1.682341,-0.4285758,0.004229636,1.736078,,298.3635
Scoop,-1.600867,1.053486,2.083218,0.6384835,-0.03005859,-0.04834771,-0.7675275,-0.03443929,0.08932598,0.3487122,0.02014554,-0.4717879,-0.1716072,1.92613,-0.514021,-0.8230373,2.156753,,298.3748
Scoop,-1.600867,1.053486,2.083218,0.6384835,-0.03005859,-0.04834771,-0.7675275,-0.03443929,0.08932598,0.3487122,0.02014554,-0.4717879,-0.1716072,1.92613,-0.514021,-0.8230373,2.156753,,298.3879
Scoop,-1.60263,1.053985,2.08912,0.6371001,-0.02887616,-0.04886642,-0.7686886,-0.0166171,0.1143603,0.1456758,0.2793285,-0.4014995,-0.128871,2.10997,-1.119696,-0.1750023,2.395061,,298.3967
Scoop,-1.601213,1.056462,2.095986,0.6361125,-0.02901149,-0.0475297,-0.7695848,-0.02462177,0.129358,0.2326788,0.1522196,0.08454305,-0.09258465,2.261063,-1.08269,-1.429727,2.885956,,298.4114
Scoop,-1.601213,1.056462,2.095986,0.6361125,-0.02901149,-0.0475297,-0.7695848,-0.02462177,0.129358,0.2326788,0.1522196,0.08454305,-0.09258465,2.261063,-1.08269,-1.429727,2.885956,,298.4246
Scoop,-1.602575,1.056489,2.101629,0.6334194,-0.03138193,-0.05350342,-0.7713188,0.005939245,0.1290834,0.06891505,0.3373907,0.9912787,0.2838283,1.80367,-1.055057,-0.5458426,2.159702,,298.4387
Scoop,-1.600144,1.058452,2.108687,0.6322588,-0.02908292,-0.04714689,-0.7727748,-0.02689864,0.07874246,0.2003592,0.1647432,-0.574592,-0.3030087,2.540842,-0.861321,-2.130544,3.425926,,298.4509
Scoop,-1.600144,1.058452,2.108687,0.6322588,-0.02908292,-0.04714689,-0.7727748,-0.02689864,0.07874246,0.2003592,0.1647432,-0.574592,-0.3030087,2.540842,-0.861321,-2.130544,3.425926,,298.4631
Scoop,-1.599424,1.05841,2.112914,0.6319381,-0.02601299,-0.04211184,-0.7734368,-0.008693485,-0.01075215,0.1401061,0.1000944,-0.5146538,-0.1983525,2.507505,-0.6864257,-1.789889,3.156337,,298.4739
Scoop,-1.599424,1.05841,2.112914,0.6319381,-0.02601299,-0.04211184,-0.7734368,-0.008693485,-0.01075215,0.1401061,0.1000944,-0.5146538,-0.1983525,2.507505,-0.6864257,-1.789889,3.156337,,298.4871
Scoop,-1.598212,1.057552,2.116894,0.6312381,-0.02555016,-0.04161474,-0.7740506,0.02421311,0.08623079,0.1154274,0.2535367,-0.4644867,-0.4219106,2.240657,-1.073286,-2.055999,3.224844,,298.4963
Scoop,-1.591504,1.060453,2.122413,0.6299086,-0.03156349,-0.04536095,-0.7747009,0.05407605,0.1551408,0.1543965,0.1960879,1.192819,-0.02969787,1.112774,-0.9382936,-2.113073,2.56588,,298.511
Scoop,-1.591504,1.060453,2.122413,0.6299086,-0.03156349,-0.04536095,-0.7747009,0.05407605,0.1551408,0.1543965,0.1960879,1.192819,-0.02969787,1.112774,-0.9382936,-2.113073,2.56588,,298.5242
Scoop,-1.589691,1.060478,2.123851,0.6276842,-0.03777811,-0.05382872,-0.7756857,0.008901469,0.1402789,-0.06515338,0.3095126,1.76157,0.2567555,1.01705,-0.353981,-0.202135,1.095697,,298.5466
Scoop,-1.585124,1.062608,2.12644,0.6258025,-0.04400963,-0.06017697,-0.7764106,0.1212385,0.08299582,-0.0318192,0.1524703,0.0482682,-0.02348778,0.007197159,-0.07714184,-0.6913983,0.6957257,,298.5603
Scoop,-1.582548,1.064306,2.127021,0.62545,-0.04351825,-0.06131145,-0.7766335,0.2049678,0.0953418,-0.006473348,0.04917002,0.03419603,0.114652,0.2112933,-0.0690835,-0.3351173,0.4021454,,298.574
Scoop,-1.582548,1.064306,2.127021,0.62545,-0.04351825,-0.06131145,-0.7766335,0.2049678,0.0953418,-0.006473348,0.04917002,0.03419603,0.114652,0.2112933,-0.0690835,-0.3351173,0.4021454,,298.5867
Scoop,-1.580148,1.066846,2.126969,0.6246852,-0.04175323,-0.06210881,-0.7772823,0.2577609,0.1518546,-0.08447243,0.114364,-0.08531576,0.1649731,0.3358561,-0.5579134,0.08774744,0.6570892,,298.5959
Scoop,-1.580148,1.066846,2.126969,0.6246852,-0.04175323,-0.06210881,-0.7772823,0.2577609,0.1518546,-0.08447243,0.114364,-0.08531576,0.1649731,0.3358561,-0.5579134,0.08774744,0.6570892,,298.6086
Scoop,-1.577492,1.070242,2.126142,0.6246988,-0.04256868,-0.06177458,-0.777254,0.06808829,0.1674405,-0.03443316,-0.009115748,0.04251729,-0.07658784,1.059054,-0.5461661,-0.2032852,1.208809,,298.6189
