Transform Name,Closest collider,Distance X,Distance Y,Distance Z,Magnitude,Time Stamp
Wrist,Top Steel shiny,-0.5437855,-4.172325E-06,1.688183,1.773602,298.0884
Wrist,Top Steel shiny,-0.5398003,-4.053116E-06,1.689373,1.773517,298.1001
Wrist,Top Steel shiny,-0.5368244,-4.410744E-06,1.691,1.774165,298.1108
Wrist,Top Steel shiny,-0.5368244,-4.410744E-06,1.691,1.774165,298.123
Wrist,Top Steel shiny,-0.534756,-4.529953E-06,1.693606,1.776025,298.1333
Wrist,Top Steel shiny,-0.534756,-4.529953E-06,1.693606,1.776025,298.1445
Wrist,Top Steel shiny,-0.5345656,-4.172325E-06,1.696706,1.778924,298.1553
Wrist,Top Steel shiny,-0.5345656,-4.172325E-06,1.696706,1.778924,298.167
Wrist,Top Steel shiny,-0.5361708,-4.529953E-06,1.699944,1.782495,298.1777
Wrist,Top Steel shiny,-0.5361708,-4.529953E-06,1.699944,1.782495,298.189
Wrist,Top Steel shiny,-0.5372091,-4.053116E-06,1.702788,1.78552,298.1997
Wrist,Top Steel shiny,-0.5365534,-4.529953E-06,1.703953,1.786434,298.2114
Wrist,Top Steel shiny,-0.5365534,-4.529953E-06,1.703953,1.786434,298.2236
Wrist,Top Steel shiny,-0.5354268,-4.529953E-06,1.702374,1.784589,298.2329
Wrist,Top Steel shiny,-0.5354268,-4.529953E-06,1.702374,1.784589,298.2446
Wrist,Top Steel shiny,-0.5357545,-4.053116E-06,1.697023,1.779584,298.2554
Wrist,Top Steel shiny,-0.5357545,-4.053116E-06,1.697023,1.779584,298.2681
Wrist,Top Steel shiny,-0.540129,-4.291534E-06,1.692398,1.7765,298.2778
Wrist,Top Steel shiny,-0.540129,-4.291534E-06,1.692398,1.7765,298.2896
Wrist,Top Steel shiny,-0.5483928,-4.172325E-06,1.688839,1.775644,298.2998
Wrist,Top Steel shiny,-0.5597071,-4.529953E-06,1.686619,1.777063,298.312
Wrist,Top Steel shiny,-0.5597071,-4.529953E-06,1.686619,1.777063,298.3242
Wrist,Top Steel shiny,-0.57296,-4.529953E-06,1.68618,1.780867,298.333
Wrist,Top Steel shiny,-0.5872899,-4.410744E-06,1.687706,1.78697,298.3599
Wrist,Top Steel shiny,-0.6022931,-4.172325E-06,1.691457,1.795489,298.373
Wrist,Top Steel shiny,-0.6022931,-4.172325E-06,1.691457,1.795489,298.3848
Wrist,Top Steel shiny,-0.6176376,-4.291534E-06,1.697489,1.806362,298.3931
